HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NR3C2
CBL	CTNNB1
CTNNB1	SP1
CBL	SMAD3
SMAD3	YAP1
SMAD3	JUN
SMAD3	SMAD4
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
CBL	YWHAZ
YWHAZ	WWTR1
SMAD3	SMAD2
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
HSP90AA1	PPARA
DRD2	PAWR
PAWR	CAND1
CAND1	NR3C2
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
PPP1R9B	PPP1CA
PPP1CA	YAP1
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	SMAD4
COPS5	NCOA1
NCOA1	TEAD1
FLNA	BSG
BSG	VPS52
VPS52	TEAD4
CDKN2A	E2F1
E2F1	TEAD3
PPP1CA	WWTR1
DRD2	CALM1
CALM1	ESR1
ESR1	SMAD2
FLNA	LMNA
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
PAWR	AATF
AATF	SMAD3
CALM1	HSP90AA1
GRIA2	SDCBP
SDCBP	NT5C2
NT5C2	PTGES3
PTGES3	NR3C2
GRIA2	GRIP1
GRIP1	CTNNB1
GRIA2	RAB11A
RAB11A	YWHAG
YWHAG	YAP1
SDCBP	MBD3
MBD3	JUN
GRIA2	SPTAN1
SPTAN1	SPTBN1
SPTBN1	SMAD4
SDCBP	MID2
MID2	UBTD1
UBTD1	TEAD1
MBD3	TRIM27
YAP1	TEAD3
YWHAG	WWTR1
SPTBN1	SMAD2
SDCBP	TRIM32
TRIM32	RXRA
GRIP1	PPARG
SPTBN1	SMAD3
SDCBP	SIAH1
SIAH1	UBE2I
UBE2I	PPARA
GRIA3	SDCBP
GRIA3	GRIP1
SDCBP	DMC1
DMC1	RAD51
RAD51	YAP1
SDCBP	QARS
QARS	RNF11
RNF11	SMAD4
PPARG	PHB2
PHB2	TEAD3
SDCBP	KLHL12
KLHL12	MED28
MED28	WWTR1
GRIP1	CREBBP
CREBBP	SMAD2
CREBBP	SMAD3
CREB3L3	NPY
CREB5	BDNF
HIF1A	PGK1
HIF1A	TFRC
HIF1A	VEGFC
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	PFKL
YAP1	BIRC2
YAP1	ID1
YAP1	SNAI2
YAP1	AREGB
WWTR1	BBC3
WWTR1	BIRC5
ETS1	MMP1
CREB3	BCL2
PPARA	LPL
PPARG	PLIN1
TCF7	JUN
USF1	APOC3
USF2	APOC3
SP1	COX4I1
CREM	PLAT
RARA	PLAU
