HTR2A	CBL
CBL	HSPA8
HSPA8	ERG
CBL	GRB2
GRB2	HTT
HTT	ETV4
CBL	STAP2
STAP2	MYD88
CBL	SMAD3
SMAD3	IRF7
CBL	CTNNB1
CTNNB1	CREBBP
GRB2	EP300
CTNNB1	HIF1A
EP300	ARNT
DRD2	CALM1
CALM1	HSPA4
HSPA4	ERG
DRD2	FLNA
FLNA	REL
REL	ATXN1
ATXN1	ETV4
DRD2	PAWR
PAWR	SQSTM1
SQSTM1	MYD88
CALM1	GCLM
GCLM	IRF7
REL	CREBBP
REL	EP300
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
CALM1	HSP90AA1
HSP90AA1	ARNT
GRIA2	SDCBP
SDCBP	MBD3
MBD3	JUN
JUN	ERG
SDCBP	DMC1
DMC1	RFWD2
RFWD2	ETV4
SDCBP	TRAF6
TRAF6	MYD88
TRAF6	IRF7
GRIA2	GRIP1
GRIP1	CREBBP
SDCBP	ZBTB8A
ZBTB8A	EP300
TRAF6	HIF1A
SDCBP	SIAH1
SIAH1	PIAS2
PIAS2	ARNT
GRIA3	SDCBP
GRIA3	GRIP1
EP300	FASLG
NFKB1	IL6
CREBBP	FLT1
CREBBP	NOS3
EP300	FLT1
EP300	NOS3
HIF1A	FLT1
HIF1A	NOS3
SOS1	BCL2L1
RXRB	CYP27A1
RXRG	CPT1C
CEBPE	MYC
ESR1	MYC
