HMGCR	UBC
UBC	E2F1
E2F1	NFKB1
UBC	BRCA1
BRCA1	RELA
UBC	HNRNPM
HNRNPM	STAT3
BRCA1	CEBPB
UBC	FHL2
FHL2	REL
BRCA1	JUN
BRCA1	ETS1
DPP4	IKBKB
IKBKB	NFKB1
IKBKB	RELA
DPP4	BCL10
BCL10	BCL3
BCL3	STAT3
RELA	CEBPB
BCL10	NFKBIA
NFKBIA	REL
IKBKB	JUN
IKBKB	CREBBP
CREBBP	ETS1
AHR	EP300
EP300	NFKB1
AHR	RELA
EP300	STAT3
EP300	CEBPB
EP300	REL
EP300	JUN
EP300	ETS1
NFKB1	IL1B
NFKB1	PLAU
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CG	PDPK1
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DRA
NFYC	HLA-DRB3
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
RARA	MIF
RARG	MIF
CEBPA	MMP11
