PCCB	LYPLA1
LYPLA1	DPYSL2
DPYSL2	NUMB
NUMB	TP53
LYPLA1	APRT
APRT	APP
APP	SHC1
SHC1	SOS1
SHC1	SOS2
APP	GSK3B
GSK3B	NFKB1
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	JUN
APP	MAPK7
MAPK7	ETS1
MAPK3	CREBBP
DPYSL2	LEF1
LEF1	EP300
LEF1	SMAD2
LEF1	SMAD3
LEF1	SMAD4
HLCS	SNX27
SNX27	INSR
INSR	SOCS1
SOCS1	TP53
SNX27	NTRK1
NTRK1	SOS1
NTRK1	SOS2
INSR	SOCS3
SOCS3	NFKB1
NTRK1	PML
PML	JUN
NTRK1	MAPK7
INSR	KHDRBS1
KHDRBS1	CREBBP
INSR	GRB2
GRB2	EP300
INSR	CAV1
CAV1	SMAD2
NTRK1	RPA1
RPA1	SMAD3
NTRK1	RELA
RELA	SMAD4
MCCC2	HMGCL
HMGCL	RNF126
RNF126	CDKN1A
CDKN1A	TP53
RNF126	EGFR
EGFR	SOS1
EGFR	SOS2
HMGCL	HES1
HES1	STAT3
STAT3	NFKB1
CDKN1A	JUN
HMGCL	ARL6IP1
ARL6IP1	SENP2
SENP2	DAXX
DAXX	ETS1
HES1	PARP1
PARP1	CREBBP
CDKN1A	EP300
ARL6IP1	FBXW7
FBXW7	CDK2
CDK2	SMAD2
HES1	RUNX2
RUNX2	SMAD3
RNF126	SKP2
SKP2	SMAD4
PC	KPNA4
KPNA4	TP53
PC	COPB1
COPB1	GRB2
GRB2	SOS1
GRB2	SOS2
KPNA4	CUL4B
CUL4B	NFKB1
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
KPNA4	DAXX
DAXX	CREBBP
TP53	EP300
TP53	SMAD2
TP53	SMAD3
DAXX	SMAD4
PCCA	PCCB
ACACA	BRCA1
BRCA1	TP53
ACACA	PSMD2
PSMD2	TNFRSF1A
TNFRSF1A	SOS1
BRCA1	ESR1
ESR1	SOS2
BRCA1	EP300
EP300	NFKB1
BRCA1	JUN
BRCA1	ETS1
BRCA1	CREBBP
EP300	SMAD2
BRCA1	SMAD3
EP300	SMAD4
MAPK9	JUN
CREBBP	PFKFB1
TCF7	BIRC2
TCF7L2	SNAI2
NFKB1	IL1B
RELB	ICAM1
PIK3CG	PDPK1
SP3	DKC1
NFKB1	ICAM1
RARA	MIF
RARG	MIF
CEBPA	MMP11
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
