SLC6A3	TGFB1I1
TGFB1I1	NR3C1
NR3C1	TP53
NR3C1	STAT3
TGFB1I1	SMAD3
SMAD3	CEBPB
SMAD3	SP1
SMAD3	SMURF1
SMURF1	NFIC
NR3C1	CREB1
SLC6A2	SNCA
SNCA	PTK2
PTK2	TP53
PTK2	STAT3
SNCA	MAPK1
MAPK1	CEBPB
SNCA	MAPK8
MAPK8	SP1
SNCA	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
SNCA	AKT1
AKT1	CREB1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Mapk1
Mapk1	TP53
Mapk1	HIF1A
HIF1A	STAT3
Rac1	dsh
dsh	MED23
MED23	CEBPB
TP53	SP1
Rac1	Traf6
Traf6	Stub1
Stub1	HSP90AA1
TP53	CREB1
STAT3	PIM1
MITF	TYRP1
NFYC	HLA-DQA2
MAPK8	TNF
MAPK11	IL1A
LEF1	JUN
LEF1	PPARD
TFAP2A	ITGA2
BCL6	NFKB1
