DDC	RELA
RELA	NFKB1
RELA	JUN
RELA	EP300
EP300	ETS1
RELA	FOS
RELA	TP63
TP63	ETV4
RELA	BRCA1
BRCA1	FLI1
EP300	ETS2
RELA	HSPA8
HSPA8	ERG
RELA	SP1
RELA	HIF1A
RELA	SMAD3
SMAD3	CEBPA
RELA	TP53
RELA	CREBBP
EP300	ARNT
RELA	POU2F1
EP300	Cebpb
Cebpb	NFIC
RBPJ	FCER2
CTNNB1	CCND3
JUN	CCND3
RELA	IL6
CREB3L3	PCNA
CREBBP	PFKL
CREBBP	TIMP1
EP300	PFKL
EP300	TIMP1
MITF	TYRP1
VDR	TRPV6
NFKB1	GADD45B
RELA	BCL2A1
RELA	TRAF1
RELB	CCL21
PIK3R5	AKT1
PIK3CD	AKT1
PIK3CD	PDPK1
NFYB	HLA-DMA
NFYB	HLA-DPA1
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYB	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
CREB1	ARG1
PPARG	EGFR
MYC	EIF4E
NFKB1	ELF3
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
ATF1	GH2
NFKB2	IL8
TP53	IL8
ATF2	INS
NFKB1	IRF1
STAT3	IRF1
CEBPA	ITGA2
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
TFAP2A	MYB
