ADRB1	ARRB2
ARRB2	CSK
CSK	CREBBP
CREBBP	EGR1
ARRB2	MAPK1
MAPK1	SP1
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	POLR2E
POLR2E	FOS
JUN	ETS1
ADRB2	STAT3
STAT3	EP300
EP300	EGR1
STAT3	SP1
STAT3	JUN
STAT3	NFKB1
STAT3	RELA
STAT3	PML
PML	FOS
EP300	ETS1
VEGFA	HSPA4
HSPA4	RELA
RELA	EGR1
VEGFA	HSP90AA1
HSP90AA1	SP1
RELA	JUN
HSPA4	NFKB1
RELA	FOS
HSPA4	TP53
TP53	ETS1
NPPB	PSMA3
PSMA3	EGR1
NPPB	HDAC4
HDAC4	SP1
PSMA3	CDKN1A
CDKN1A	JUN
HDAC4	NFKB1
PSMA3	HSPA8
HSPA8	RELA
HDAC4	ATF2
ATF2	FOS
PSMA3	NCOA3
NCOA3	ETS1
GJA1	TSG101
TSG101	EP300
EP300	SP1
EP300	JUN
EP300	NFKB1
EP300	RELA
GJA1	MAPK7
MAPK7	FOS
MAPK7	ETS1
KCNH2	HSPA8
KCNH2	HSP90AA1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
YWHAE	HDAC4
ABL1	FOS
HSPA8	TP53
VCAM1	PSMA3
VCAM1	SFPQ
SFPQ	SP1
VCAM1	PARP1
PARP1	JUN
VCAM1	SF1
SF1	NFKB1
VCAM1	EEF1D
EEF1D	RELA
VCAM1	FLNC
FLNC	RPS6KA2
RPS6KA2	FOS
VCAM1	ELAVL1
ELAVL1	ETS1
ADRA1D	GOPC
GOPC	RELA
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
RELA	NFKB1
DTNA	ACTB
ACTB	EP300
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
AP2M1	SFPQ
AP2M1	AP1G1
AP1G1	JUN
AP2M1	HSPA8
EP300	FOS
ADRA2C	UCHL1
UCHL1	TP53
TP53	EGR1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	UBE2I
UBE2I	JUN
UCHL1	COPS5
COPS5	NFKB1
TP53	RELA
UBE2I	FOS
UBE2I	ETS1
ADRA2B	UCHL1
ADRA2A	UCHL1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
GNAI2	NPM1
NPM1	RELA
SELE	PTK2
PTK2	TP53
PTK2	STAT3
HIF1A	EP300
HIF1A	SP1
HIF1A	JUN
HIF1A	STAT3
HIF1A	RELA
RXRG	FABP4
IRF7	IFNA10
RFX5	HLA-DMA
RFX5	HLA-DMB
BRCA1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
CREB1	IL6
EGR1	IL6
E2F1	MYB
