ADRB1	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	AKT1
AKT1	CREB1
ARRB2	IGF1R
IGF1R	TP53
ARRB2	NFKBIA
NFKBIA	ATF4
MAPK1	ATF2
NFKBIA	NFKB1
ARRB2	TRIM28
TRIM28	E2F4
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
RPA1	PGRMC1
PGRMC1	CREB3L1
RPA1	MOV10
MOV10	ATF6B
ARRB2	HNRNPA1
HNRNPA1	KRT15
KRT15	CREB5
ARRB2	XRCC6
XRCC6	PPARG
ARRB2	XRCC5
XRCC5	BRCA1
JUN	ETS1
ARRB2	CSK
CSK	CREBBP
CREBBP	EGR1
ARRB2	PRMT5
PRMT5	RELA
ADRB2	STAT3
STAT3	SP1
STAT3	JUN
ADRB2	MAPK14
MAPK14	CREB1
ADRB2	TSG101
TSG101	TP53
ADRB2	SHMT2
SHMT2	ATF4
MAPK14	ATF2
STAT3	NFKB1
STAT3	PML
PML	E2F4
SHMT2	CREB3
ADRB2	REL
REL	CEP19
CEP19	CREB3L2
ADRB2	PGRMC1
ADRB2	GRB2
GRB2	RBM33
RBM33	ATF6B
ADRB2	RGS20
RGS20	CREB5
ADRB2	NEDD4
NEDD4	PPARG
ADRB2	UBC
UBC	BRCA1
STAT3	EP300
EP300	ETS1
EP300	EGR1
STAT3	RELA
VEGFA	HSP90AA1
HSP90AA1	SP1
VEGFA	HSPA4
HSPA4	RELA
RELA	JUN
HSPA4	TP53
TP53	CREB1
VEGFA	KDR
KDR	BTRC
BTRC	ATF4
VEGFA	CRYAB
CRYAB	SMAD4
SMAD4	ATF2
HSPA4	NFKB1
HSPA4	HDAC1
HDAC1	E2F4
VEGFA	VPS35
VPS35	SHMT2
KDR	CUL1
CUL1	ELAVL1
VEGFA	NRP1
NRP1	XRN1
XRN1	MFSD5
MFSD5	CREB3L1
HSP90AA1	CDK6
CDK6	ATF6B
HSP90AA1	BRCA1
BRCA1	CREB5
KDR	CAV1
CAV1	PPARG
TP53	ETS1
RELA	EGR1
NPPB	HDAC4
HDAC4	SP1
NPPB	PSMA3
PSMA3	CDKN1A
CDKN1A	JUN
HDAC4	ATF2
ATF2	CREB1
CDKN1A	TP53
ATF2	ATF4
HDAC4	NFKB1
PSMA3	ENO1
ENO1	E2F4
HDAC4	HDAC3
HDAC3	CREB3
PSMA3	HNRNPA1
HNRNPA1	ELAVL1
PSMA3	HDAC2
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
CDKN1A	CDK6
PSMA3	XRCC6
PSMA3	XRCC5
PSMA3	NCOA3
NCOA3	ETS1
PSMA3	EGR1
PSMA3	HSPA8
HSPA8	RELA
GJA1	TSG101
TSG101	EP300
EP300	SP1
EP300	JUN
EP300	CREB1
EP300	ATF4
GJA1	PRKCE
PRKCE	ATF2
EP300	NFKB1
TSG101	AR
AR	E2F4
GJA1	CAV1
CAV1	MALL
MALL	CREB3
PRKCE	ELAVL1
GJA1	UBQLN4
UBQLN4	RUNX1T1
UBQLN4	NXF1
NXF1	ATF6B
TSG101	TRIM23
TRIM23	CREB5
GJA1	NEDD4
GJA1	CSNK1D
CSNK1D	BRCA1
GJA1	MAPK7
MAPK7	ETS1
EP300	RELA
KCNH2	HSP90AA1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
ABL1	CREB1
KCNH2	HSPA8
HSPA8	TP53
YWHAE	SHMT2
YWHAE	MAPK14
YWHAE	HDAC4
YWHAE	XPO1
XPO1	E2F4
YWHAE	HNRNPA1
KCNH2	FKBP8
FKBP8	PGRMC1
XPO1	PPARG
VCAM1	SFPQ
SFPQ	SP1
VCAM1	PARP1
PARP1	JUN
VCAM1	PPP1CA
PPP1CA	CREB1
VCAM1	YWHAZ
YWHAZ	TP53
VCAM1	GRB2
GRB2	EP300
VCAM1	RUVBL2
RUVBL2	ATF2
VCAM1	SF1
SF1	NFKB1
VCAM1	TRIM28
VCAM1	EMD
EMD	CREB3
VCAM1	ELAVL1
VCAM1	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
GRB2	KRT15
VCAM1	XRCC6
VCAM1	XRCC5
ELAVL1	ETS1
VCAM1	PSMA3
VCAM1	EEF1D
EEF1D	RELA
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
ADRA1D	GOPC
GOPC	RELA
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
DTNA	NMT1
NMT1	TP53
RELA	ATF4
DTNA	ACTB
ACTB	EP300
EP300	ATF2
RELA	NFKB1
AMFR	TRIM28
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	COPS5
COPS5	CREB3
GOPC	CCDC102B
CCDC102B	CEP19
GOPC	KPNA1
KPNA1	RUNX1T1
NUP62	NXF1
SNTB2	MAST2
MAST2	TRAF2
TRAF2	CREB5
RELA	PPARG
GOPC	BECN1
BECN1	BRCA1
ADRA1B	AP2M1
AP2M1	SFPQ
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CLTC
CLTC	EP300
AP2M1	BCR
BCR	TP53
AP2M1	RUVBL2
BCR	RB1
RB1	E2F4
AP2M1	STX8
STX8	CREB3
CREB3	CREB3L2
AP2M1	CSNK2B
CSNK2B	PRKAB2
PRKAB2	CREB3L1
AP2M1	UBC
UBC	ATF6
ATF6	ATF6B
AP2M1	EPS15
EPS15	TRAF2
SFPQ	PPARG
CSNK2B	BRCA1
AP2M1	HSPA8
ADRA2C	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	UBE2I
UBE2I	JUN
UCHL1	TP53
ADRA2C	EIF2B1
EIF2B1	GORASP2
GORASP2	SHMT2
EIF2B1	HNRNPL
HNRNPL	HMGA1
HMGA1	ATF2
UCHL1	COPS5
COPS5	NFKB1
CTNNB1	BRCA1
BRCA1	E2F4
CTNNB1	ELAVL1
COPS5	PGRMC1
UCHL1	CDK6
CTNNB1	PPARG
UBE2I	ETS1
TP53	EGR1
TP53	RELA
ADRA2B	UCHL1
ADRA2B	EIF2B1
ADRA2A	UCHL1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
GNAO1	RGS20
RGS20	RUVBL2
GNAI2	GNAI3
GNAI3	XPO1
GNAI2	MDFI
MDFI	PRKAB2
GNAI2	NPM1
NPM1	BRCA1
NPM1	RELA
SELE	PTK2
PTK2	STAT3
PTK2	TP53
PTK2	PHO90
PHO90	ATF2
STAT3	COPS5
SELE	PXN
PXN	HDAC6
HDAC6	ELAVL1
PTK2	XRN1
PTK2	GRB2
SELE	TLN1
TLN1	TRIP6
TRIP6	CREB5
PML	PPARG
TP53	BRCA1
HIF1A	SP1
HIF1A	JUN
HIF1A	EP300
HIF1A	TP53
HIF1A	STAT3
HIF1A	BRCA1
HIF1A	COPS5
HIF1A	CTNNB1
EP300	DDIT3
DDIT3	CREB3L1
BRCA1	NFYA
NFYA	ATF6B
EP300	PPARG
HIF1A	RELA
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
MAPK11	CXCL1
RBPJL	CR2
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
HNF1A	HNF4G
RELA	TRAF2
PIK3CG	AKT3
MYC	IL8
RFX5	HLA-DQB1
RFX5	HLA-DRA
NFATC1	PTGS2
NFATC3	PTGS2
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
USF1	APOC3
USF2	APOC3
CEBPB	F8
AR	F9
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
CEBPB	IL5
POU2F2	IL5
SPI1	IL5
POU2F1	VWF
SMAD4	ZFP36
