GABRA1	PRKCD
PRKCD	TP53
PRKCD	APP
APP	MYC
PRKCD	STAT3
STAT3	RB1
RB1	PAX2
STAT3	HIF1A
STAT3	NFKB1
STAT3	JUN
PRKCD	EP300
EP300	SMAD3
EP300	EGR1
EP300	PAX5
EP300	CREBBP
EP300	ARNT
PRKCD	SP1
SP1	POU2F1
PRKCD	HSP90AA1
HSP90AA1	PPARA
EP300	PPARG
HSP90AA1	NFIC
EP300	SMAD2
EP300	SMAD4
EP300	FOS
EP300	ETS1
EP300	SP3
PRKCD	ITPR1
ITPR1	BCL2
BCL2	BBC3
EP300	RXRA
APP	AKAP13
AKAP13	RXRB
PPARG	RXRG
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
SDCBP2	C1orf35
C1orf35	APP
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	PAX2
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
ZCCHC10	PIN1
PIN1	JUN
TP53	SMAD3
TP53	EGR1
TRAF6	MYB
MYB	PAX5
TP53	CREBBP
TP53	EP300
HIF1A	ARNT
SDCBP2	PRPF40A
PRPF40A	XRCC6
XRCC6	POU2F1
PRPF40A	UBE2I
UBE2I	PPARA
PIN1	PPARG
TRAF6	SMURF1
SMURF1	NFIC
TP53	SMAD2
ZCCHC10	SNIP1
SNIP1	SMAD4
UBE2I	FOS
TP53	ETS1
PRPF40A	SFPQ
SFPQ	SP3
TP53	BCL2
UBE2I	RXRA
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
GABRA4	APP
APP	MAPK8
MAPK8	TP53
APP	MCM7
MCM7	HIF1A
APP	GSK3B
GSK3B	NFKB1
MAPK8	JUN
GSK3B	SMAD3
APP	EEF1D
EEF1D	RELA
RELA	EGR1
MAPK8	EP300
APP	CDC20
CDC20	CREBBP
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
APP	HSPA8
HSPA8	POU2F1
AKAP13	PPARA
APP	RFX5
RFX5	PPARG
ELAVL1	NFIC
APP	CSNK1D
CSNK1D	SMAD2
CSNK1D	SMAD4
APP	MAPK7
MAPK7	FOS
MAPK7	ETS1
RELA	SP3
PSEN2	BCL2L1
BCL2L1	BBC3
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	HSP90AA1
HSP90AA1	MYC
NOD1	UBC
UBC	BRCA1
BRCA1	PAX2
NOD1	PSMA7
PSMA7	HIF1A
NOD1	COPS6
COPS6	NFKB1
NOD1	CASP9
CASP9	JUN
NOD1	CFLAR
CFLAR	SMAD3
CASP9	RB1
RB1	PAX5
HSP90AA1	ARNT
BRCA1	POU2F1
UBC	SFPQ
SFPQ	PPARG
UBC	FHL2
FHL2	SMAD4
UBC	ABL1
ABL1	FOS
UBC	E2F1
E2F1	SP3
CFLAR	BCL2L1
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
UBC	CUL1
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	TP53
GSK3B	MYC
TRAK2	PLK1
PLK1	BRCA1
TRAK2	PRKAB2
PRKAB2	GNB2L1
GNB2L1	HIF1A
GSK3B	JUN
GSK3B	RELA
GSK3B	MAPK1
MAPK1	PAX5
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	PIAS2
PIAS2	ARNT
PRKAB2	PRKDC
PRKDC	POU2F1
RELA	PPARA
GSK3B	CTNNB1
CTNNB1	PPARG
GSK3B	HSP90AA1
SMAD3	SMAD2
PIAS2	SMAD4
GSK3B	BCL3
BCL3	FOS
PRKAB2	CRX
CRX	SP3
TRAK2	IQCB1
IQCB1	ALB
ALB	BBC3
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GABRB3	MEOX2
MEOX2	RELA
RELA	TP53
MEOX2	KAT5
KAT5	MYC
RELA	BRCA1
RELA	HIF1A
RELA	NFKB1
RELA	JUN
MEOX2	TGFB1
TGFB1	SMAD3
GABRB3	PRKCA
PRKCA	EP300
RELA	CREBBP
GABRB3	PRKACA
PRKACA	HSP90AA1
PRKACA	POU2F1
PRKCA	PPARG
TGFB1	SMAD2
RELA	SMAD4
RELA	FOS
MEOX2	HAT1
HAT1	BCL2A1
BCL2A1	BBC3
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
GABRD	UBQLN1
UBQLN1	RAD23A
RAD23A	TP53
UBQLN1	APP
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	HCVgp1
HCVgp1	JUN
HCVgp1	SMAD3
RAD23A	CREBBP
CREBBP	EGR1
UBQLN1	VCP
VCP	MAPK1
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	C1QTNF2
C1QTNF2	ARNT
GAPDH	POU2F1
UBQLN1	PSEN2
CREBBP	SP3
UBQLN1	UBQLN4
UBQLN4	RXRA
UBQLN1	UBE3A
UBE3A	RARA
RARA	RXRG
GABRE	CUX1
CUX1	EHMT2
EHMT2	TP53
CUX1	BIN1
BIN1	MYC
CUX1	CCNA1
CCNA1	RB1
GABRE	HLA-A
HLA-A	STAT3
GABRE	GPAA1
GPAA1	PIN1
PIN1	SMAD3
CUX1	SATB1
SATB1	EP300
CUX1	TLE4
TLE4	PAX5
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
SATB1	PML
PML	ARNT
GABRE	FAM189B
FAM189B	HSPA8
SATB1	UBE2I
CUX1	CDK7
CDK7	HSP90AA1
PIN1	SMAD2
FAM189B	WWP1
WWP1	SMAD4
GABRE	ALG9
ALG9	XBP1
XBP1	FOS
TLE4	HDAC1
HDAC1	SP3
HLA-A	BCAP31
BCAP31	BCL2
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
GABRG2	GABARAP
GABARAP	DVL2
DVL2	TP53
GABARAP	NEDD4
NEDD4	YY1
YY1	MYC
GABARAP	KEAP1
KEAP1	BBS1
BBS1	PAX2
GABARAP	SQSTM1
SQSTM1	HIF1A
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
TAX1BP1	ITCH
ITCH	JUN
NEDD4	SMAD3
NEDD4	ERBB3
ERBB3	EGR1
GABARAP	ATG7
ATG7	EP300
SMAD3	CREBBP
NEDD4	EPRS
EPRS	POU2F1
ATG7	SIRT1
SIRT1	PPARA
NEDD4	PPARG
KEAP1	HSP90AA1
NEDD4	SMAD2
SMAD3	SMAD4
SMAD3	FOS
SQSTM1	BCL2
NEDD4	SRC
SRC	RXRA
PPARG	RXRB
CREB3L4	PCNA
EGR3	FASLG
CREBBP	EPO
CREBBP	FIGF
EP300	EPO
EP300	FIGF
HIF1A	EPO
HIF1A	FIGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
NEUROG3	PAX6
HNF1A	HNF4G
EPAS1	TGFB2
MYC	CKS1B
RELA	CCND1
PPARA	ACSL4
PPARG	GK
NFYC	CD74
MAPK3	IL1A
CREB1	GH2
NFIC	GH2
CEBPB	IL5
JUND	IL5
POU2F2	IL5
RARA	MIF
RARG	MIF
CEBPA	MMP11
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
ETS1	MMP3
ETS2	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
JUN	MMP7
FLI1	MMP9
