HTR2A	CBL
CBL	CTNNB1
CTNNB1	HIF1A
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	ABL1
ABL1	CREB1
CTNNB1	SP1
CBL	SMAD3
SMAD3	JUN
CTNNB1	CREBBP
EP300	ARNT
EP300	ETS1
GRB2	HTT
HTT	ETV4
SMAD3	SMAD4
CBL	EGFR
EGFR	STAT1
SMAD3	FOS
EGFR	STAT3
SMAD3	JUNB
SMAD3	JUND
SMAD3	E2F4
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA8
HSPA8	RELA
CTNNB1	PPARG
SMAD3	CEBPA
EP300	EGR1
CBL	HSPA4
HSPA4	NFKB1
HSP90AA1	PPARA
SMAD3	YAP1
CBL	YWHAQ
YWHAQ	E2F1
GRB2	BCAR1
BCAR1	E2F2
CTNNB1	HDAC1
HDAC1	E2F3
CTNNB1	PPARD
CTNNB1	ESR1
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CBL	MAPK8
MAPK8	MYC
EP300	USF2
EP300	ATF4
MAPK8	SPI1
EP300	SP3
YWHAZ	WWTR1
MAPK8	IRF3
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
KCNH2	HSP90AA1
HSP90AA1	HIF1A
KCNH2	YWHAE
YWHAE	NPM1
NPM1	TFAP2A
YWHAE	ABL1
HSP90AA1	SP1
ABL1	JUN
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	ARNT
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS1
KCNH2	NEDD4L
NEDD4L	SMAD3
HSPA8	HTT
YWHAE	NCBP1
NCBP1	SMAD4
YWHAE	XPO1
XPO1	STAT1
ABL1	FOS
HSP90AA1	STAT3
NPM1	JUNB
HSP90AA1	MDM2
MDM2	JUND
XPO1	E2F4
XPO1	PPARG
YWHAE	C1QBP
C1QBP	CEBPA
RELA	EGR1
YWHAE	HDAC4
HDAC4	NFKB1
YWHAE	YWHAQ
YWHAQ	YAP1
YWHAE	BCAR1
HSP90AA1	BCL6
BCL6	E2F3
HSP90AA1	PPARD
HSPA8	ESR1
RELA	RXRA
HSPA8	FLYWCH2
FLYWCH2	RXRB
PPARA	RXRG
HSP90AA1	MYC
RELA	USF2
YWHAE	SHMT2
SHMT2	ATF4
KCNH2	CDC73
CDC73	DEP1
DEP1	SPI1
ESR1	SP3
YWHAE	WWTR1
HSP90AA1	IRF3
CDC73	CTNNB1
YWHAE	MAP3K7
MAP3K7	DAZAP2
WWTR1	TEAD1
YWHAE	EIF3E
EIF3E	TRIM27
WWTR1	TEAD3
GLI3	WNT4
GLI3	HHIP
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
RBPJ	FCER2
CTNNB1	CCND3
ATF2	PCNA
ATF6B	PCNA
EGR3	FASLG
MAPK8	JUN
RELA	IL6
CREBBP	EDN1
CREBBP	ENO2
CREBBP	FIGF
CREBBP	ANGPT4
CREBBP	PFKL
EP300	EDN1
EP300	ENO2
EP300	FIGF
EP300	ANGPT4
EP300	PFKL
HIF1A	EDN1
HIF1A	ENO2
HIF1A	FIGF
HIF1A	ANGPT4
ARNT	CDKN1A
ARNT	EGF
ARNT	EPO
ARNT	HK3
ARNT	LDHA
ARNT	PFKFB1
ARNT	PGK1
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
YAP1	MYC
WWTR1	CTGF
SMAD1	ID2
SMAD4	CTGF
TEAD1	CCND1
TEAD4	CCND2
HNF1A	HNF4G
RELA	TRAF2
PIK3CG	AKT3
PIK3R3	AKT3
EPAS1	VEGFC
HIF1A	PDGFB
JUN	VEGFC
NFKB2	TRAF1
NFKB2	BIRC7
IRF8	IL12A
PPARA	CYP4A11
PPARA	FABP1
PPARA	APOA1
PPARG	CPT1B
PPARG	ACSL4
PPARG	OLR1
RXRA	ACSBG2
RXRA	ACOX3
RXRB	ACADM
RXRB	ILK
RXRB	ME1
MYD88	IFNA10
NFYA	LOC100509457
NFYA	HLA-DOB
NFYB	HLA-DMA
NFYB	HLA-DOA
NFYB	HLA-DPA1
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYB	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DOB
NFYC	HLA-DQA2
MAPK3	IL12A
MAPK11	IL6
MAPK9	NOS2
RFX5	LOC100507714
RFX5	LOC101060835
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOA
RFXANK	HLA-DMA
ELK1	TWF2
SP1	REL
TP53	APAF1
TP53	HSP90AB1
USF1	XRCC6
USF1	SERPINE1
NFIC	ADA
SP1	ADA
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
USF1	APOC3
USF2	APOC3
E2F4	CAV1
SP1	CAV1
RARB	CRABP2
RARG	CRABP2
NFIC	CYP11A1
NFKB1	CYP11A1
SP3	DNASE2
NFKB1	F3
RELA	F3
CEBPB	F8
NFKB1	F8
AR	F9
NFKB1	ICAM1
CREB1	IFNG
RELA	IL2
CEBPB	IL5
ETS2	IL5
JUND	IL5
POU2F1	IL5
POU2F2	IL5
SPI1	IL5
ATF1	IL6
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
USF1	LIPC
ETS1	MYB
ETV4	MYB
MYB	MYB
EGR1	TFPI2
NFIC	TFPI2
