HTR2A	CBL
CBL	SMAD3
SMAD3	PML
SMAD3	ZBTB16
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	PPARA
CBL	SRC
SRC	RXRA
CBL	CTNNB1
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
CBL	BAG1
BAG1	RARA
SMAD3	RUNX1
CTNNB1	HDAC1
HDAC1	RUNX1T1
CBL	ABL1
ABL1	CREB1
KCNH2	YWHAE
YWHAE	HDAC7
HDAC7	PML
YWHAE	MAP3K3
MAP3K3	ZBTB16
KCNH2	HSP90AA1
KCNH2	HSPA8
HSPA8	RELA
RELA	RXRA
HSPA8	FLYWCH2
FLYWCH2	RXRB
PPARA	RXRG
HSPA8	UBE3A
UBE3A	RARA
KCNH2	STUB1
STUB1	RUNX1
YWHAE	KPNB1
KPNB1	RUNX1T1
YWHAE	ABL1
PML	JUP
PML	CCNA1
RARA	JUP
RARA	CCNA1
ZBTB16	JUP
ZBTB16	CCNA1
RUNX1	JUP
RUNX1T1	JUP
NR3C2	ATP1A4
STAT3	VEGFC
EPAS1	VEGFB
NFKB2	BCL2
PIAS2	CDKN2B
PPARA	APOA5
PPARA	HMGCS2
PPARG	CPT1C
PPARG	MMP1
SP3	MYCN
MYB	NCL
MYBL1	NCL
TP53	NFIC
TAL1	NFKB1
BCL3	NFKB2
JUN	NFKB2
SP1	NFKB2
E2F1	POLA
