HTR2A	CBL
CBL	EGFR
EGFR	STAT3
CBL	SMAD3
SMAD3	CEBPB
CBL	CTNNB1
CTNNB1	SP1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
SMAD3	JUN
SMAD3	CEBPA
CTNNB1	HIF1A
CBL	YWHAZ
YWHAZ	TP53
KCNH2	HSP90AA1
HSP90AA1	STAT3
KCNH2	YWHAE
YWHAE	NOLC1
NOLC1	CEBPB
HSP90AA1	SP1
YWHAE	NPM1
NPM1	TFAP2A
YWHAE	ABL1
ABL1	JUN
YWHAE	C1QBP
C1QBP	CEBPA
HSP90AA1	HIF1A
KCNH2	HSPA8
HSPA8	TP53
TP53	CDKN1A
JUN	CCND3
HIF1A	CDKN1A
HIF1A	ANGPT2
STAT3	CCND3
TP53	SERPINB5
TP53	BAI1
HIF1A	ADM
TFAP2A	ADM
CEBPA	ALB
CEBPB	ALB
SP1	ALB
CEBPA	CDKN1A
JUN	CDKN1A
SP1	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
CEBPB	CSRP1
STAT3	CSRP1
CEBPB	HP
SP1	KRT5
TFAP2A	KRT5
CEBPA	SERPINC1
