HTR2A	CBL
CBL	EGFR
EGFR	STAT3
CBL	SMAD3
SMAD3	CEBPB
CBL	GRB2
GRB2	REL
CBL	MAPK8
MAPK8	ELK4
CBL	SMAD7
SMAD7	SRF
CBL	CTNNB1
CTNNB1	TCF3
TCF3	ELK3
CTNNB1	CREBBP
GRB2	EP300
CTNNB1	HIF1A
EP300	ARNT
CBL	ABL1
ABL1	CREB1
EP300	ETS2
CTNNB1	ESR1
CBL	YWHAQ
YWHAQ	ESR2
GRB2	HTT
HTT	ETV4
EGFR	STAT1
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
SMAD3	ATF2
MAPK8	ELK1
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
CTNNB1	BRCA1
BRCA1	FLI1
CTNNB1	COPS5
COPS5	CREB3
GRB2	RBM33
RBM33	ATF6B
EP300	ATF4
CTNNB1	ELAVL1
ELAVL1	CREB3L2
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
GRB2	KRT15
KRT15	CREB5
GRB2	HSP90AA1
HSP90AA1	PPARA
KCNH2	HSP90AA1
HSP90AA1	STAT3
KCNH2	YWHAE
YWHAE	NOLC1
NOLC1	CEBPB
YWHAE	TBK1
TBK1	REL
KCNH2	CDC73
CDC73	MUS81
MUS81	ELK4
YWHAE	HDAC4
HDAC4	SRF
YWHAE	SNRPD1
SNRPD1	TOP1
TOP1	ELK3
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	HIF1A
HSP90AA1	ARNT
YWHAE	ABL1
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS2
HSPA8	ESR1
YWHAE	YWHAQ
HSPA8	HTT
YWHAE	XPO1
XPO1	STAT1
HDAC4	NFKB1
YWHAE	MAPK14
MAPK14	ATF2
HSPA8	SNCA
SNCA	ELK1
RELA	RXRA
HSPA8	FLYWCH2
FLYWCH2	RXRB
PPARA	RXRG
HSP90AA1	BRCA1
XPO1	PPARG
YWHAE	SHMT2
SHMT2	CREB3
HSP90AA1	CDK6
CDK6	ATF6B
SHMT2	ATF4
YWHAE	HNRNPA1
HNRNPA1	ELAVL1
KCNH2	FKBP8
FKBP8	PGRMC1
PGRMC1	CREB3L1
BRCA1	CREB5
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
RBPJ	HES5
TP53	BAX
EPAS1	SLC2A1
ETS1	VEGFA
MYC	VEGFC
NFKB1	NOS2
NFKB2	TRAF6
FOXO3	CDKN1B
FOXO3	G6PC
PPARA	EHHADH
PPARA	ACSBG2
PPARA	ACOX2
PPARG	ACSL3
RXRA	APOA5
RXRA	CPT1C
NFYC	HLA-DOB
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
TFAP2A	ADRA1A
CREB1	ADRB2
CEBPA	AFP
CEBPB	AFP
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
