HTR2A	CBL
CBL	CTNNB1
CTNNB1	HIF1A
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
EP300	ARNT
CBL	SMAD3
SMAD3	JUN
CTNNB1	SP1
CBL	ABL1
ABL1	CREB1
EP300	ETS1
CBL	EGFR
EGFR	STAT3
EGFR	STAT1
SMAD3	JUND
EP300	TFAP2A
SMAD3	SMAD4
SMAD3	FOS
GRB2	HTT
HTT	ETV4
SMAD3	JUNB
SMAD3	IRF7
CBL	STAP2
STAP2	MYD88
CBL	HSPA8
HSPA8	RELA
CBL	HSPA4
HSPA4	NFKB1
KCNH2	HSP90AA1
HSP90AA1	HIF1A
KCNH2	YWHAE
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	ARNT
YWHAE	ABL1
ABL1	JUN
HSP90AA1	SP1
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS1
HSP90AA1	STAT3
YWHAE	XPO1
XPO1	STAT1
HSP90AA1	MDM2
MDM2	JUND
YWHAE	NPM1
NPM1	TFAP2A
KCNH2	NEDD4L
NEDD4L	SMAD3
YWHAE	NCBP1
NCBP1	SMAD4
ABL1	FOS
HSPA8	HTT
NPM1	JUNB
YWHAE	TBK1
TBK1	IRF7
HSP90AA1	HDAC6
HDAC6	MYD88
YWHAE	HDAC4
HDAC4	NFKB1
NFKB1	BIRC2
RELA	BIRC2
CREBBP	HK3
CREBBP	TIMP1
EP300	HK3
EP300	TIMP1
HIF1A	HK3
HIF1A	TIMP1
ARNT	HK3
ARNT	TIMP1
JUN	SERPINB2
SP1	SERPINB2
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
