GABRA1	PRKCD
PRKCD	STAT3
STAT3	JUN
PRKCD	SP1
PRKCD	TNFRSF1A
TNFRSF1A	SOS1
STAT3	EGFR
EGFR	SOS2
PRKCD	STAT1
PRKCD	EP300
EP300	ZBTB17
PRKCD	TP53
TP53	PIAS2
EP300	STAT5A
PRKCD	INSR
INSR	STAT5B
EP300	STAT2
STAT3	TRIM28
TRIM28	STAT4
STAT3	STAT6
PRKCD	YWHAG
YWHAG	YAP1
PRKCD	APP
APP	ELK1
STAT3	SMAD1
SMAD1	LEF1
PRKCD	ELAVL1
ELAVL1	DAZAP2
DAZAP2	TCF7
ELAVL1	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
EP300	TFAP2A
EP300	IRF3
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	PIN1
PIN1	JUN
ZCCHC10	TP53
TP53	SP1
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	NTRK1
NTRK1	SOS1
NTRK1	SOS2
TIFA	IRAK1
IRAK1	STAT1
IRAK1	HSPB1
HSPB1	ZBTB17
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	PIAS2
TRAF6	STAT3
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	STAT5A
NTRK1	STAT5B
STAT1	STAT2
PIAS2	STAT4
ZCCHC10	EEF1A1
EEF1A1	STAT6
PIN1	YAP1
SDCBP2	C1orf35
C1orf35	APP
TRIM27	PIAS4
PIAS4	LEF1
SDCBP2	PRPF40A
PRPF40A	UBQLN4
UBQLN4	DAZAP2
PRPF40A	UBE2I
UBE2I	TCF7L2
SDCBP2	ZNF581
ZNF581	SUV39H1
SUV39H1	CTNNB1
TP53	TFAP2A
PIN1	IRF3
GABRB1	NOD1
NOD1	CASP9
CASP9	JUN
NOD1	HSP90AA1
HSP90AA1	SP1
NOD1	UBC
UBC	CBL
CBL	SOS1
UBC	BIN1
BIN1	SOS2
UBC	BRCA1
BRCA1	STAT1
HSP90AA1	ZBTB17
NOD1	RNF34
RNF34	TP53
HSP90AA1	STAT3
BRCA1	STAT5A
UBC	HAX1
HAX1	STAT5B
HSP90AA1	STAT2
UBC	TRIM28
TP53	STAT6
UBC	ABL1
ABL1	YAP1
RNF34	APP
UBC	DAZAP2
DAZAP2	LEF1
UBC	PSMA3
PSMA3	TCF7L2
DAZAP2	TCF7L1
HSP90AA1	IRF3
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	JUN
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
GSK3B	PTPN11
PTPN11	SOS1
TRAK2	PRKAA1
PRKAA1	ABI2
ABI2	SOS2
PRKAB2	GNB2L1
GNB2L1	STAT1
GSK3B	MYC
MYC	ZBTB17
PRKAB2	PIAS2
GSK3B	BCL3
BCL3	STAT3
PRKAB2	CSNK2B
PTPN11	STAT5B
GSK3B	HSP90AA1
GSK3B	EEF1A1
TRAK2	PRKAG1
PRKAG1	SIP2
SIP2	YAP1
TRAK2	KLC1
KLC1	APP
GSK3B	CTNNB1
CTNNB1	LEF1
GSK3B	SMURF2
SMURF2	DAZAP2
CTNNB1	TCF7L2
GSK3B	TP53
GSK3B	EWSR1
EWSR1	IRF3
GABRB3	MEOX2
MEOX2	RELA
RELA	JUN
RELA	SP1
MEOX2	NCK2
NCK2	SOS1
GABRB3	PRKACA
PRKACA	EGFR
MEOX2	CIAPIN1
CIAPIN1	STAT1
PRKACA	HSP90AA1
MEOX2	PRKAB2
RELA	STAT3
MEOX2	POM121C
POM121C	STAT5A
EGFR	STAT5B
EGFR	STAT2
JUN	STAT4
MEOX2	AHCYL1
AHCYL1	STAT6
MEOX2	PIN1
MEOX2	STK16
STK16	ELK1
GABRB3	PRKCA
PRKCA	CTNNB1
PRKCA	ELAVL1
PRKCA	EP300
RELA	TP53
GABRG2	GABARAP
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
NEDD4	EGFR
EGFR	SOS1
GABARAP	ATG7
ATG7	STAT1
NEDD4	MYCN
MYCN	ZBTB17
NEDD4	AKT1
AKT1	PIAS2
GABARAP	TBC1D15
TBC1D15	STAT3
GABARAP	SQSTM1
SQSTM1	STAT5A
SQSTM1	TKT
TKT	STAT4
TAX1BP1	DSTN
DSTN	STAT6
TAX1BP1	RAD18
RAD18	YAP1
NEDD4	SNCA
SNCA	ELK1
TAX1BP1	DAZAP2
DAZAP2	TCF7L2
NEDD4	PPARG
PPARG	TFAP2A
TAX1BP1	IKBKE
IKBKE	IRF3
GABARAP	DVL2
DVL2	TP53
GABRD	UBQLN1
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	APP
APP	MAPK8
MAPK8	SP1
APP	SHC1
SHC1	SOS1
SHC1	SOS2
UBQLN1	MTOR
MTOR	STAT1
APP	MYC
MAPK8	PIAS2
MTOR	STAT3
SHC1	STAT5A
SHC1	STAT5B
UBQLN1	PSEN2
PSEN2	ELAVL1
ELAVL1	STAT2
UBQLN1	UBC
UBQLN1	RAD23B
RAD23B	STAT6
UBQLN1	UBQLN2
UBQLN2	YAP1
UBQLN1	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
UBQLN1	EPS15
EPS15	TFAP2A
MAPK8	IRF3
UBQLN1	RAD23A
RAD23A	TP53
GABRE	HLA-A
HLA-A	STAT3
GABRE	CUX1
CUX1	CCNA1
CCNA1	SP1
CUX1	BIN1
BIN1	SOS1
GABRE	ALG9
ALG9	RTF1
RTF1	STAT1
BIN1	MYC
HLA-A	MAGEA4
MAGEA4	PIAS2
GABRE	BSCL2
BSCL2	POM121C
CCNA1	PGR
PGR	STAT5B
CUX1	SATB1
SATB1	EP300
GABRE	FAM189B
FAM189B	YAP1
GABRE	EPHB4
EPHB4	APP
SATB1	CTNNB1
BSCL2	ZDHHC17
ZDHHC17	LASP1
LASP1	DAZAP2
SATB1	PML
PML	TCF7L2
FAM189B	HECW2
HECW2	TFAP2A
GABRE	GPAA1
GPAA1	PIN1
CUX1	EHMT2
EHMT2	TP53
GABRR1	BCR
BCR	RB1
RB1	JUN
RB1	SP1
BCR	GRB2
GRB2	SOS1
GRB2	SOS2
BCR	KIT
KIT	STAT1
BCR	HSP90AA1
BCR	TP53
RB1	STAT3
BCR	CRKL
CRKL	STAT5A
BCR	PTPN6
PTPN6	STAT5B
BCR	ABL1
GRB2	MAPK9
MAPK9	ELK1
GABRR1	TAX1BP1
RB1	TFAP2A
TSPO	ATP5F1
ATP5F1	HNRNPA1
HNRNPA1	HMGA1
HMGA1	JUN
HNRNPA1	SFPQ
SFPQ	SP1
ATP5F1	ATP5C1
ATP5C1	EGFR
TSPO	ARF4
ARF4	IAA11
IAA11	SOS2
ARF4	GNB2L1
HNRNPA1	HSPB1
HNRNPA1	GTF2I
GTF2I	PIAS2
ATP5F1	KDM1A
KDM1A	STAT3
HNRNPA1	PRMT1
PRMT1	STAT5A
HSPB1	STAT2
KDM1A	TRIM28
ARF4	PSAT1
PSAT1	STAT6
HNRNPA1	ENO1
ENO1	YAP1
HNRNPA1	APP
HNRNPA1	RNF14
RNF14	LEF1
HNRNPA1	RPS27A
RPS27A	DAZAP2
HNRNPA1	FUS
FUS	TCF7L2
HNRNPA1	LMNA
LMNA	CTNNB1
HNRNPA1	ELAVL1
ELAVL1	TFAP2A
HNRNPA1	EWSR1
KDM1A	TP53
GABRA4	APP
MAPK8	JUN
APP	HDAC4
HDAC4	STAT1
MAPK8	STAT3
APP	PSEN2
APP	HGS
HGS	AHCYL1
APP	TAF6
TAF6	YAP1
MYC	TFAP2A
MAPK8	TP53
ZBTB17	CDKN2B
ELK1	CCND3
JUN	CCND3
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TCF7L1	CCND3
SOS1	SPRY1
SOS1	CCND3
SOS2	SPRY1
SOS2	CCND3
STAT1	CCND3
STAT2	CCND3
STAT3	CCND3
STAT4	CCND3
STAT5A	CCND3
STAT5B	CCND3
STAT6	CCND3
TP53	FAS
TP53	TSC2
PIAS2	CDKN2B
SP1	CDKN2B
IRF3	CXCL11
STAT1	CXCL11
JUN	GJA1
SP1	GJA1
SP1	TAF7
TFAP2A	TAF7
