KCNJ11	YWHAB
YWHAB	APP
APP	MAPK8
MAPK8	ELK4
YWHAB	HDAC4
HDAC4	SRF
YWHAB	SKP2
SKP2	TCF3
TCF3	ELK3
YWHAB	ABL1
ABL1	CREB1
YWHAB	PRKCZ
PRKCZ	SP1
MAPK8	HSF1
YWHAB	HES1
HES1	STAT3
HDAC4	ATF2
YWHAB	YWHAZ
YWHAZ	COPS5
COPS5	CREB3
YWHAB	CDC25A
CDC25A	NFYA
NFYA	ATF6B
CDC25A	TRIB3
TRIB3	ATF4
YWHAB	GIGYF2
GIGYF2	ELAVL1
ELAVL1	CREB3L2
YWHAB	BAD
BAD	CREB3L3
CREB3L3	CREB3L1
ABL1	BRCA1
BRCA1	CREB5
HDAC4	STAT1
APP	ELK1
ELK1	FLI1
YWHAB	RFWD2
RFWD2	ETV4
RFWD2	ETS2
YWHAB	IGF1R
IGF1R	ESR1
YWHAB	YWHAQ
YWHAQ	ESR2
YWHAB	GRIP1
GRIP1	CREBBP
YWHAB	HSPA5
HSPA5	EP300
HDAC4	HIF1A
EP300	ARNT
YWHAB	CSNK2A1
CSNK2A1	ATF1
ABL1	JUN
CA1	TFCP2
TFCP2	SUMO1
SUMO1	BLM
BLM	ELK4
SUMO1	PML
PML	SRF
TFCP2	EAF1
EAF1	TOP1
TOP1	ELK3
TFCP2	HDAC1
HDAC1	CREB1
TFCP2	HDAC2
HDAC2	SP1
HDAC2	HSF1
HDAC1	STAT3
PML	ATF2
HDAC1	DDIT3
DDIT3	CREB3
TFCP2	CBX8
CBX8	MOV10
MOV10	ATF6B
HDAC2	CREBBP
CREBBP	ATF4
TFCP2	RNF2
RNF2	ELAVL1
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
TFCP2	FBXL18
FBXL18	MDFI
MDFI	CREB5
HDAC1	STAT1
SUMO1	PIAS2
PIAS2	FLI1
SUMO1	TP63
TP63	ETV4
SUMO1	TP53
TP53	ETS2
SUMO1	UBE2I
UBE2I	ELK1
HDAC2	ESR1
PIAS2	ESR2
HDAC1	EP300
HDAC2	HIF1A
PML	ARNT
CREBBP	ATF1
PML	JUN
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	BRCA1
BRCA1	ELK4
CA2	NONO
NONO	SMARCA4
SMARCA4	SRF
CDKN2A	TOP1
NONO	PPP1CA
PPP1CA	CREB1
CDKN2A	SP1
SMARCA4	HSF1
SMARCA4	STAT3
SLC4A1	CLU
CLU	MAPK9
MAPK9	ATF2
NONO	HDAC3
HDAC3	CREB3
CDKN2A	CDK6
CDK6	ATF6B
SMARCA4	CREBBP
NONO	PTBP1
PTBP1	ELAVL1
HDAC3	RUNX1T1
CA2	HSPD1
HSPD1	RGS20
RGS20	CREB5
SMARCA4	STAT1
BRCA1	FLI1
CDKN2A	TP63
NONO	SPI1
SPI1	ETS2
HSPD1	APP
SMARCA4	ESR1
CDKN2A	KAT5
KAT5	ESR2
NONO	CTTN
CTTN	EP300
CDKN2A	HIF1A
BRCA1	ARNT
SPI1	ATF1
HDAC3	JUN
ATP1A1	VDAC1
VDAC1	APOE
APOE	ELAVL1
ELAVL1	ELK4
ATP1A1	CCT7
CCT7	KAT5
KAT5	SRF
ATP1A1	RPN1
RPN1	TAL1
TAL1	TCF3
KAT5	CREB1
ATP1A1	PHB
PHB	RB1
RB1	SP1
RPN1	ACT1
ACT1	HSF1
RPN1	BMH1
BMH1	STAT3
VDAC1	HK1
HK1	ATF2
RPN1	OS9
OS9	CREB3
OS9	ERLEC1
ERLEC1	ATF6B
CCT7	CEBPE
CEBPE	ATF4
VDAC1	TSPO
TSPO	CREB3L1
VDAC1	ATP5O
ATP5O	TRIP6
TRIP6	CREB5
CCT7	TRIM28
TRIM28	STAT1
PHB	PRKCD
PRKCD	FLI1
RPN1	SSA1
SSA1	UBA2
UBA2	ETV4
PHB	TP53
CCT7	APP
PHB	ESR1
TRIM28	CREBBP
VDAC1	CLTC
CLTC	EP300
OS9	HIF1A
RB1	ARNT
ATP1A1	CYC1
CYC1	GPT2
GPT2	ATF1
CEBPE	JUN
KCNMA1	SNCA
SNCA	MAPK8
KCNMA1	YWHAZ
YWHAZ	HDAC4
KCNMA1	VCP
VCP	TOP1
KCNMA1	AKT1
AKT1	CREB1
KCNMA1	HSP90AA1
HSP90AA1	SP1
KCNMA1	HSPB1
HSPB1	HSF1
HSP90AA1	STAT3
KCNMA1	ARF1
ARF1	IRE1
IRE1	ATF2
KCNMA1	GAPDH
GAPDH	NFYC
NFYC	ATF6B
KCNMA1	HSPA5
EP300	ATF4
SNCA	Dynll1
Dynll1	CREB3L2
KCNMA1	VDAC1
AKT1	BRCA1
VCP	STAT1
YWHAZ	PRKCD
YWHAZ	RFWD2
ARF1	SPI1
SNCA	ELK1
KCNMA1	YWHAQ
YWHAQ	ESR1
AKT1	CREBBP
VCP	HIF1A
HSP90AA1	ARNT
ARF1	VPH2
VPH2	ATF1
KCNMA1	GSK3B
GSK3B	JUN
SLC12A3	HSP90AA1
HSP90AA1	BRCA1
SLC12A3	HSPA8
HSPA8	PRKDC
PRKDC	SRF
HSPA8	ESR1
ESR1	TOP1
HSPA8	ABL1
SLC12A3	HSPA1A
HSPA1A	HSF1
SLC12A3	NEDD4
NEDD4	SMAD3
SMAD3	ATF2
ESR1	HDAC3
HSP90AA1	CDK6
HSPA8	RELA
RELA	ATF4
HSPA8	SNCA
NEDD4	RPS3A
RPS3A	DDIT3
DDIT3	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
HSPA8	NMI
NMI	STAT1
HSPA8	HTT
HTT	ETV4
HSPA8	TP53
ESR1	ESR2
ESR1	CREBBP
SLC12A3	ACTB
ACTB	EP300
HSP90AA1	HIF1A
BRCA1	ATF1
RELA	JUN
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
ATF4	FOSB
CREB3L2	FOSB
CREB3L1	FOSB
CREB5	FOSB
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	FOS
ATF4	FOS
CREB3L2	FOS
CREB3L1	FOS
CREB5	FOS
CREBBP	TFRC
EP300	TFRC
HIF1A	TFRC
ARNT	TFRC
STAT3	HIF1A
HSF1	HSPA8
ELK1	FOS
ELK4	FOS
SRF	FOS
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ETV4	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
SP1	HSPA8
ATF1	TFRC
CREB1	TFRC
JUN	TFRC
