TUBB1	SNCA
SNCA	MEF2D
MEF2D	HDAC3
HDAC3	E2F4
SNCA	MAPK8
MAPK8	SP1
SNCA	CLTC
CLTC	EP300
EP300	ETS2
SNCA	UBC
UBC	E2F1
MAPK8	JUN
SNCA	PTK2
PTK2	TP53
SNCA	APP
APP	KAT5
KAT5	MYB
PTK2	BCAR1
BCAR1	E2F2
MEF2D	HDAC1
HDAC1	E2F3
SNCA	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
BCL2	BRCA1
BRCA1	E2F4
BRCA1	SP1
BCL2	TP53
TP53	ETS2
BRCA1	E2F1
BRCA1	JUN
BRCA1	EP300
EP300	MYB
BRCA1	RB1
RB1	E2F2
RB1	E2F3
BCL2	HSP90AA1
MAP2	NEDD4
NEDD4	SMAD3
SMAD3	E2F4
MAP2	PSMC5
PSMC5	SP1
PSMC5	TP53
MAP2	APP
KAT5	E2F1
APP	MAPK8
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	E2F2
ELAVL1	E2F3
MAP2	FYN
FYN	HSP90AA1
MAP4	LSM3
LSM3	LSM1
LSM1	RBL2
RBL2	E2F4
MAP4	SERBP1
SERBP1	TP53
TP53	SP1
MAP4	RPS20
RPS20	MDM2
MDM2	E2F1
SERBP1	PIAS1
PIAS1	JUN
SERBP1	CHD3
CHD3	MYB
LSM3	TOP1
TOP1	RBL1
RBL1	E2F2
LSM3	SNRPD1
SNRPD1	TRIM28
TRIM28	E2F3
LSM1	HSP90AA1
MAPT	YWHAZ
YWHAZ	ENO1
ENO1	E2F4
MAPT	SYK
SYK	SP1
YWHAZ	TP53
MAPT	YWHAQ
YWHAQ	E2F1
MAPT	ABL1
ABL1	JUN
YWHAQ	TRIM28
TRIM28	MYB
YWHAZ	BCAR1
YWHAQ	SMURF1
SMURF1	NFIC
NR1I2	NCOR2
NCOR2	E2F4
NR1I2	RXRA
RXRA	SP1
NR1I2	NCOA3
NCOA3	ETS2
NCOA3	E2F1
NCOR2	JUN
NR1I2	PSMC5
NR1I2	NCOR1
NCOR1	MYB
RXRA	EP300
EP300	RB1
NCOR2	HDAC1
NCOA3	RFX1
RFX1	NFIC
LEF1	MITF
NFKB1	IL18
NFYA	HLA-DOB
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOA
RFXAP	HLA-DOB
TCF7L1	FOSL1
CEBPA	TWF2
USF1	APOC3
USF2	APOC3
