ACHE	COL1A1
COL1A1	UBL4A
UBL4A	TXN
TXN	NFKB1
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
COL1A1	ITGB1
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
IGFBP3	FN1
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
FN1	SMAD4
SMAD4	ATF2
IGFBP3	CD44
CD44	STAT3
UBL4A	NCL
NCL	SP1
IGF1R	MDM2
MDM2	JUND
ITGB1	SEL1L
SEL1L	ERLEC1
ERLEC1	ATF6B
FN1	TRIB3
TRIB3	ATF4
COL1A1	PDGFB
PDGFB	MDFI
MDFI	CREB5
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
ITGB1	TUBA1A
TUBA1A	MYC
FN1	UBE2L3
UBE2L3	FOS
UBL4A	NPM1
NPM1	TFAP2A
IGF1R	TP53
TP53	ETS1
UBL4A	HSP90AA1
HSP90AA1	NFIC
ITGB1	PTK2
PTK2	STAT1
ITGB1	PRKCA
PRKCA	PPARG
FN1	CSNK2A1
CSNK2A1	ATF1
COL1A1	RNH1
RNH1	SDCBP
SDCBP	FOXP2
FOXP2	SP4
HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	JUN
CBL	CTNNB1
CTNNB1	COPS5
CTNNB1	ELAVL1
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
SMAD3	ATF2
CBL	EGFR
EGFR	STAT3
CTNNB1	SP1
SMAD3	JUND
CBL	GRB2
GRB2	RBM33
RBM33	ATF6B
GRB2	EP300
EP300	ATF4
GRB2	KRT15
KRT15	CREB5
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
CBL	MAPK8
MAPK8	MYC
SMAD3	FOS
EP300	TFAP2A
EP300	ETS1
GRB2	HSP90AA1
CBL	YWHAZ
YWHAZ	TP53
EGFR	STAT1
CTNNB1	PPARG
HTR2A	DLG4
DLG4	CACNG2
CACNG2	ATF1
CBL	YWHAQ
YWHAQ	E2F1
E2F1	SP4
STAT3	PIM1
TNF	ICAM1
TNF	SELE
CREB3	FOSB
CREB3	NPY
CREB1	FOSB
CREB1	NPY
ATF2	FOSB
ATF2	NPY
ATF6B	FOSB
ATF6B	NPY
CREB3L4	BDNF
ATF4	CRH
ATF4	BDNF
MAPK1	PDYN
CREB3L2	FOSB
CREB3L2	NPY
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
TEAD1	BIRC2
TEAD1	BIRC5
TEAD4	AXIN2
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
RELA	CCL4L1
PIK3R2	AKT3
RBPJL	HES5
MAPK14	IL1B
MAPK14	IL18
MYD88	IFNA1
MYD88	IFNA6
NFYA	HLA-DQA1
NFYA	HLA-DRB3
MAPK1	IL12B
MAPK13	IL12B
MAPK13	IL18
RELA	CEBPB
RELA	IL18
RELA	IL23A
RFX5	HLA-DRB4
LEF1	PPARD
RARA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
E2F4	CAV1
SP1	CAV1
USF1	CCND1
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
NFKB1	ICAM1
ATF2	IFNG
BCL6	NFKB1
JUN	NRAS
MYB	NRAS
CREB1	NTS
FOS	NTS
MYC	ODC1
CREB1	ODC1
CEBPA	PCK2
NFIC	PCK2
TP53	PCNA
EGR1	PDGFB
FOS	PDHA1
JUN	PDHA1
PAX6	PDHX
ATF2	PENK
JUN	PENK
TFAP2A	PENK
SP1	TNF
SP3	TNF
SPI1	TNF
ETS1	TNNC1
NFKB1	TNNC1
SMAD4	TNNC1
TFAP2A	TNPO1
