ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
UBL4A	RAB1A
RAB1A	CREB1
UBL4A	NPM1
NPM1	TFAP2A
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
IGF1R	TP53
TP53	ETS1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
UBL4A	HSP90AA1
HSP90AA1	ARNT
IGFBP3	FN1
FN1	UBE2L3
UBE2L3	FOS
ITGB1	PTK2
PTK2	STAT1
UBL4A	TXN
TXN	NFKB1
PTK2	SAE1
SAE1	ETV4
CD44	STAT3
IGF1R	MDM2
MDM2	JUND
FN1	SMAD4
NPM1	JUNB
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD3
UBL4A	KPNA2
KPNA2	RELA
HSP90AA1	NFIC
TP53	EGR1
HTR2A	CBL
CBL	SMAD3
SMAD3	JUN
CBL	CTNNB1
CTNNB1	SP1
CBL	ABL1
ABL1	CREB1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CTNNB1	HIF1A
EP300	ETS1
CTNNB1	CREBBP
EP300	ARNT
SMAD3	FOS
CBL	EGFR
EGFR	STAT1
CBL	HSPA4
HSPA4	NFKB1
GRB2	HTT
HTT	ETV4
EGFR	STAT3
SMAD3	JUND
SMAD3	SMAD4
SMAD3	JUNB
CBL	HSPA8
HSPA8	RELA
GRB2	HSP90AA1
CBL	YWHAZ
YWHAZ	TP53
EP300	EGR1
ATF6B	FOS
ATF4	FOS
GLI3	WNT4
EGR2	FASLG
MAPK8	JUN
CREBBP	ALDOA
CREBBP	ANGPT4
EP300	ALDOA
EP300	ANGPT4
HIF1A	ALDOA
HIF1A	ANGPT4
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DOA
NFYB	HLA-DPA1
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYB	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
MAPK8	TNF
MAPK11	IL1A
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	MMP7
TCF7L1	PPARD
ESR1	APOE
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	GH2
POU2F1	IL4
POU2F2	IL4
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
E2F1	MYB
ETS1	PRL
CEBPD	PTGS2
EGR1	TFPI2
