ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	TXN
TXN	NFKB1
COL1A1	ITGB1
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
IGF1R	ESR1
ESR1	SP3
IGFBP3	CD44
CD44	EP300
EP300	USF2
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
IGFBP3	FN1
FN1	RBL1
RBL1	E2F4
IGF1R	RUVBL1
RUVBL1	LEF1
TP53	ETS2
UBL4A	HSPA8
HSPA8	ERG
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
IGF1R	CSK
CSK	JUN
HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	CTNNB1
CTNNB1	SP1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	HSPA4
HSPA4	NFKB1
GRB2	HTT
HTT	ETV4
EP300	SP3
CTNNB1	BRCA1
BRCA1	FLI1
CBL	SMAD3
SMAD3	E2F4
CTNNB1	LEF1
EP300	ETS2
CBL	HSPA8
CBL	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
SMAD3	JUN
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
STAT4	SOCS5
PAX6	PDX1
MAPK14	IL1B
MAPK14	IL18
MYD88	IFNA1
MYD88	IFNA6
NFYA	HLA-DOB
RFXAP	HLA-DOA
RFXAP	HLA-DOB
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C3
USF1	CCND1
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
NFIC	GH2
FLI1	ID2
TFAP2A	IGFBP3
ATF1	IL1B
CEBPB	IL1B
EGR1	IL6
PPARG	LIPA
CEBPE	MYB
EGR1	MYB
CEBPE	MYC
ESR1	MYC
REL	TNFSF10
FLI1	TNNC1
SMAD2	TNNC1
SP3	TNNC1
