GABRA1	PRKCD
PRKCD	STAT3
STAT3	AR
PRKCD	SP1
ADRA2B	UCHL1
UCHL1	CTNNB1
CTNNB1	AR
CTNNB1	SP1
GABRA3	SDCBP2
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	AR
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
GABRA4	APP
APP	KAT5
KAT5	AR
APP	MAPK8
MAPK8	SP1
GABRB1	NOD1
NOD1	HSP90AA1
HSP90AA1	AR
HSP90AA1	SP1
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	AR
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
GABRB3	MEOX2
MEOX2	RELA
RELA	AR
RELA	SP1
GABRD	UBQLN1
UBQLN1	UBE3A
UBE3A	AR
UBQLN1	APP
GABRE	CUX1
CUX1	CDK7
CDK7	AR
CUX1	CCNA1
CCNA1	SP1
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	AR
SMAD3	SP1
SP1	CD44
AR	F9
