GABRA1	PRKCD
PRKCD	SP1
PRKCD	HSP90AA1
HSP90AA1	PPARA
PRKCD	EP300
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
EP300	RUNX1
PRKCD	STAT3
STAT3	HDAC3
HDAC3	RUNX1T1
PRKCD	ELAVL1
ELAVL1	ELK4
PRKCD	FLI1
FLI1	SRF
EP300	TCF3
TCF3	ELK3
EP300	ESR1
PRKCD	TP53
EP300	EGR1
EP300	ETS1
ELAVL1	CEBPA
EP300	USF2
PRKCD	STAT1
EP300	RARA
EP300	CREBBP
STAT3	HIF1A
EP300	ARNT
EP300	CREB1
EP300	ATF2
ADRA2B	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	UBE2I
UBE2I	PPARA
UBE2I	RXRA
CTNNB1	PPARG
PPARG	RXRB
UCHL1	CDK1
CDK1	RUNX1
CTNNB1	HDAC1
HDAC1	RUNX1T1
CTNNB1	BRCA1
BRCA1	ELK4
UBE2I	SRF
CTNNB1	TCF3
CTNNB1	ESR1
UCHL1	TP53
TP53	EGR1
UBE2I	ETS1
UCHL1	CDK4
CDK4	CEBPA
CTNNB1	EP300
UBE2I	STAT1
CTNNB1	CREBBP
CTNNB1	HIF1A
UCHL1	HSP90AA1
HSP90AA1	ARNT
TP53	CREB1
HSP90AA1	STAT3
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	HMGA1
HMGA1	ATF2
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
SDCBP2	PRPF40A
PRPF40A	UBE2I
SDCBP2	C1orf35
C1orf35	APP
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
ZCCHC10	PIN1
PIN1	PPARG
TIFA	TRAF6
TRAF6	RUNX1
PRPF40A	UBQLN4
UBQLN4	RUNX1T1
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ELK4
TP53	TOP1
TOP1	ELK3
TP53	ESR1
TP53	ETS1
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
TP53	EP300
IRAK1	STAT1
PIN1	RARA
TP53	CREBBP
TRAF6	HIF1A
HIF1A	ARNT
TRAF6	STAT3
MAPK8	ATF2
GABRA4	APP
APP	MAPK8
MAPK8	SP1
AKAP13	PPARA
APP	GSK3B
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	RFX5
RFX5	PPARG
APP	MYC
MYC	RUNX1
APP	APBB1
APBB1	HDAC1
APP	KAT5
KAT5	SRF
APP	CUL3
CUL3	TOP1
APP	DDX54
DDX54	ESR1
MAPK8	TP53
APP	EEF1D
EEF1D	RELA
RELA	EGR1
APP	MAPK7
MAPK7	ETS1
MAPK8	CEBPA
RELA	USF2
APP	HDAC4
HDAC4	STAT1
APP	PHF8
PHF8	RARA
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
KAT5	CREB1
MAPK8	STAT3
GABRB1	NOD1
NOD1	HSP90AA1
HSP90AA1	SP1
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
NOD1	UBC
UBC	CUL1
UBC	SFPQ
SFPQ	PPARG
UBC	FHL2
FHL2	RUNX1
UBC	KPNB1
KPNB1	RUNX1T1
UBC	BRCA1
FHL2	SRF
NOD1	RNF34
RNF34	TP53
HSP90AA1	ESR1
UBC	C1QBP
BRCA1	USF2
BRCA1	STAT1
UBC	E2F1
E2F1	RARA
NOD1	PSMA7
PSMA7	HIF1A
UBC	CUL3
CUL3	ATF2
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
TRAK2	GSK3B
GSK3B	RELA
RELA	PPARA
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GSK3B	CTNNB1
GSK3B	SMAD3
SMAD3	RUNX1
GSK3B	DNMT1
DNMT1	RUNX1T1
TRAK2	PLK1
PLK1	BRCA1
PRKAB2	PRKDC
PRKDC	SRF
TRAK2	PRKAG1
PRKAG1	PA2G4
PA2G4	TOP1
PRKAB2	PIAS2
PIAS2	ESR1
GSK3B	TP53
PRKAB2	YY1AP1
YY1AP1	CEBPA
PRKAB2	GNB2L1
GNB2L1	STAT1
GSK3B	MAPK1
MAPK1	RARA
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
GNB2L1	HIF1A
PIAS2	ARNT
GSK3B	CREB1
GSK3B	BCL3
BCL3	STAT3
SMAD3	ATF2
GABRB3	MEOX2
MEOX2	RELA
RELA	SP1
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
GABRB3	PRKCA
PRKCA	PPARG
MEOX2	TRAF6
GABRB3	PRKACA
PRKACA	HDAC1
PRKCA	ELAVL1
MEOX2	KAT5
PRKACA	TCF3
RELA	ESR1
RELA	TP53
PRKCA	EP300
KAT5	CEBPA
MEOX2	CIAPIN1
CIAPIN1	STAT1
MEOX2	PIN1
RELA	CREBBP
RELA	HIF1A
