CREB3	FOSB
ATF6B	ARC
CREB3L4	PDYN
ATF4	ARC
CREB3L2	PDYN
CREB1	PCNA
ATF6B	IL8
CREBBP	CDKN1A
CREBBP	ENO1
EP300	CDKN1A
EP300	ENO1
HIF1A	CDKN1A
HIF1A	ENO1
STAT5A	CCND1
STAT6	MYC
HNF1A	HNF4A
MAPK1	CDK4
BBC3	TP53
TP53	RRM2B
TP53	PMAIP1
EPAS1	TGFB1
RXRA	ACADM
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK12	NOS2
TCF7	JUN
CREB1	TINAGL1
CREB1	CD55
ESR1	APOE
USF2	APOE
TP53	AQP1
USF1	CALCA
USF2	CALCA
SP3	CYP17A1
PPARA	CYP1A1
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
CREB1	NTS
CEBPB	PRL
ATF4	PTGS2
CEBPB	PTGS2
RARB	PTGS2
