PPARA	EP300
EP300	RELA
EP300	STAT3
EP300	STAT1
EP300	NFKB1
EP300	HIF1A
EP300	CREBBP
EP300	ARNT
EP300	ETS1
EP300	JUN
EP300	MYC
EP300	FOS
EP300	TFAP2A
EP300	EPAS1
EP300	CREB1
EP300	USF2
CREBBP	PFKFB2
CREBBP	VEGFA
EP300	PFKFB2
EP300	VEGFA
HIF1A	PFKFB2
HIF1A	VEGFA
ARNT	PFKFB2
ARNT	VEGFA
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
STAT3	VEGFA
EPAS1	VEGFA
ETS1	VEGFA
FOS	VEGFA
JUN	VEGFA
MYC	VEGFA
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
USF2	CEACAM6
CREB1	ERBB2
TFAP2A	ERBB2
NFKB1	IL2RA
RELA	IL2RA
STAT1	IL2RA
STAT3	IL2RA
RELA	S100A6
