AKR1D1	SIRT1
SIRT1	STAT3
STAT3	NFKB1
STAT3	SP1
SIRT1	JUN
SIRT1	UBE2I
UBE2I	ETS1
SIRT1	HSP90AA1
HSP90AA1	NFIC
SIRT1	JUND
SIRT1	TLE1
TLE1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
DAZAP2	TCF7
UBE2I	TCF7L2
SIRT1	AKT1
AKT1	CTNNB1
CTNNB1	TCF7L1
SIRT1	TP53
TP53	ETS2
STAT3	HIF1A
SIRT1	RELA
RELA	EGR1
SIRT1	RB1
RB1	E2F4
SIRT1	ESR1
ESR1	CREBBP
STAT3	EP300
RB1	ARNT
RELA	POU2F1
RB1	PPARG
SIRT1	CREB1
SIRT1	HDAC2
HDAC2	PPARD
UBE2I	RXRA
SIRT1	PPARA
PPARA	RXRB
PPARA	RXRG
SIRT1	CSNK2A2
CSNK2A2	ATF1
RB1	CEBPB
SIRT1	E2F1
RB1	E2F2
RB1	E2F3
RB1	TFAP2A
RELA	REL
HSP90AA1	NR3C2
SIRT1	FOS
FOS	CEBPA
SIRT1	RARA
UBE2I	HSF1
RB1	ATF2
RB1	MAPK14
MAPK14	HOXA5
CREB3L3	FOSB
CREB3L1	CRH
GLI3	PTCH1
GLI3	HHIP
ELK1	XIAP
JUN	CCND2
CREB3	PCNA
ATF6B	PCNA
FOS	MMP9
NFKB1	TNF
CREB3L2	IL8
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	ENO2
CREBBP	GAPDH
CREBBP	SERPINE1
CREBBP	BCL2
CREBBP	TFRC
CREBBP	VEGFB
EP300	ENO2
EP300	GAPDH
EP300	SERPINE1
EP300	BCL2
EP300	TFRC
EP300	VEGFB
HIF1A	ENO2
HIF1A	GAPDH
HIF1A	SERPINE1
SOS1	SPRY3
CREB1	MITF
CREB3L4	MITF
CREB3L2	MITF
MAPK1	CCND1
MAPK3	CDK4
VDR	SLC34A2
EPAS1	TGFB3
ETS1	IL8
JUN	FIGF
JUN	VEGFC
MYC	CKS2
NFKB2	TRAF1
RELA	TRAF3
CREB3	MCL1
ATF4	BCL2
PPARA	CYP4A11
PPARA	ACSBG1
PPARA	SLC27A1
PPARD	ACADL
PPARG	CPT1B
PPARG	GK2
PPARG	ACSL5
RXRA	CYP27A1
RXRG	EHHADH
IRF7	IFNA8
MAPK14	IL1B
MAPK14	IL18
MYD88	IFNA1
MYD88	IFNA6
MYD88	IFNA13
NFKB1	CEBPG
NFYA	CD74
NFYC	LOC100509457
NFYC	LOC101060835
MAPK1	IL1A
MAPK1	IL18
MAPK1	NOS2
MAPK3	IL12A
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL12A
MAPK11	IL23A
MAPK9	NOS2
RFX5	HLA-DMA
RFX5	HLA-DMB
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
TP53	MKI67
TP53	APAF1
USF1	XRCC6
USF1	SERPINE1
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
ESR1	APOE
CREB1	AQP3
USF2	B2M
TFDP1	CAV1
TP53	CAV1
E2F+P170	CCNA2
MYC	CCNB1
USF1	CCND1
JUN	CYP11A1
RELA	HDAC1
RELA	HDAC2
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
SMAD4	JUN
SP1	JUN
PGR	KLK3
SP3	KLK3
CREB1	PLAT
JUND	PLAT
JUN	TFPI2
NFIC	TFPI2
