GABRA1	PRKCD
PRKCD	EP300
EP300	ZBTB17
PRKCD	TP53
TP53	PIAS2
PRKCD	STAT3
STAT3	NFKB1
PRKCD	SP1
EP300	CREBBP
STAT3	RELA
EP300	SMAD4
EP300	RUNX1
STAT3	HDAC3
HDAC3	RUNX1T1
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	MYCN
MYCN	ZBTB17
NEDD4	AKT1
AKT1	PIAS2
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
NEDD4	SMAD3
SMAD3	SP1
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
GABARAP	KEAP1
KEAP1	RELA
GABARAP	DVL2
DVL2	TP53
SMAD3	SMAD4
TAX1BP1	TRAF6
TRAF6	RUNX1
GABARAP	SQSTM1
SQSTM1	NCOR1
NCOR1	RUNX1T1
GABRA3	SDCBP2
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	HSPB1
HSPB1	ZBTB17
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	PIAS2
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
TP53	CREBBP
TP53	EP300
TP53	RELA
ZCCHC10	SNIP1
SNIP1	SMAD4
TIFA	TRAF6
SDCBP2	PRPF40A
PRPF40A	UBQLN4
UBQLN4	RUNX1T1
GABRA4	APP
APP	MYC
MYC	ZBTB17
APP	MAPK8
MAPK8	PIAS2
APP	GSK3B
GSK3B	NFKB1
MAPK8	SP1
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	EEF1D
EEF1D	RELA
MAPK8	TP53
APP	CSNK1D
CSNK1D	SMAD4
MYC	RUNX1
APP	APBB1
APBB1	HDAC1
HDAC1	RUNX1T1
GABRB1	NOD1
NOD1	HSP90AA1
HSP90AA1	ZBTB17
NOD1	RNF34
RNF34	TP53
NOD1	COPS6
COPS6	NFKB1
HSP90AA1	SP1
NOD1	UBC
UBC	FHL2
FHL2	SMAD4
FHL2	RUNX1
UBC	KPNB1
KPNB1	RUNX1T1
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	MYC
TRAK2	PRKAB2
PRKAB2	PIAS2
PRKAB2	CRX
CRX	SP1
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
GSK3B	RELA
GSK3B	TP53
PIAS2	SMAD4
GSK3B	SMAD3
SMAD3	RUNX1
GSK3B	DNMT1
DNMT1	RUNX1T1
GABRB3	PRKACA
PRKACA	HSP90AA1
GABRB3	MEOX2
MEOX2	PRKAB2
MEOX2	RELA
RELA	NFKB1
RELA	SP1
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
RELA	TP53
RELA	SMAD4
MEOX2	TRAF6
PRKACA	HDAC1
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	RAD23A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
RAD23A	TP53
UBQLN1	UBQLN4
GABRE	CUX1
CUX1	BIN1
BIN1	MYC
GABRE	HLA-A
HLA-A	MAGEA4
MAGEA4	PIAS2
HLA-A	STAT3
CUX1	CCNA1
CCNA1	SP1
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
CUX1	SATB1
SATB1	EP300
CUX1	EHMT2
EHMT2	TP53
GABRE	FAM189B
FAM189B	WWP1
WWP1	SMAD4
FAM189B	YAP1
YAP1	RUNX1
CUX1	TLE4
TLE4	HDAC1
RUNX1	JUP
RUNX1T1	JUP
GLI2	WNT10A
GLI3	BMP4
ELK1	CCND3
ATF6B	PCNA
TP53	CDKN1B
CREBBP	ENO2
STAT5A	SOCS2
STAT6	CCND1
EP300	MITF
MITF	TYR
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	LPL
RXRA	ACSL5
MAPK3	IL12A
SP3	DKC1
JUN	NFKB2
SP1	NFKB2
SP1	TAF7
POU2F1	TFPI2
