GABRA1	PRKCD
PRKCD	EP300
EP300	CREB1
PRKCD	APP
APP	ELK1
EP300	ETS2
PRKCD	ELAVL1
ELAVL1	CEBPA
EP300	TFAP2A
PRKCD	HSP90AA1
HSP90AA1	NFIC
EP300	FOS
PRKCD	STAT3
STAT3	JUN
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	AKT1
AKT1	CREB1
NEDD4	SNCA
SNCA	ELK1
GABARAP	ATG7
ATG7	EP300
NEDD4	SMAD3
SMAD3	CEBPA
NEDD4	PPARG
PPARG	TFAP2A
GABARAP	KEAP1
KEAP1	HSP90AA1
SMAD3	FOS
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	CREB1
SDCBP2	C1orf35
C1orf35	APP
TP53	ETS2
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
TP53	TFAP2A
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	SMURF1
SMURF1	NFIC
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	FOS
ZCCHC10	PIN1
PIN1	JUN
GABRA4	APP
APP	KAT5
KAT5	CREB1
APP	DDX54
DDX54	NR3C1
NR3C1	ETS2
APP	MAPK8
MAPK8	CEBPA
APP	MYC
MYC	TFAP2A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	NFIC
APP	MAPK7
MAPK7	FOS
MAPK8	JUN
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
RNF34	APP
NOD1	UBC
UBC	C1QBP
NOD1	HSP90AA1
UBC	ABL1
ABL1	FOS
NOD1	CASP9
CASP9	JUN
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	CREB1
TRAK2	KLC1
KLC1	APP
GSK3B	TP53
TRAK2	PRKAB2
PRKAB2	YY1AP1
YY1AP1	CEBPA
GSK3B	HSP90AA1
GSK3B	BCL3
BCL3	FOS
GSK3B	JUN
GABRB3	PRKACA
PRKACA	CREB1
GABRB3	MEOX2
MEOX2	STK16
STK16	ELK1
GABRB3	PRKCA
PRKCA	EP300
MEOX2	KAT5
KAT5	CEBPA
PRKACA	HSP90AA1
MEOX2	RELA
RELA	FOS
RELA	JUN
GABRD	UBQLN1
UBQLN1	ATXN3
ATXN3	CREB1
UBQLN1	APP
UBQLN1	RAD23A
RAD23A	CREBBP
CREBBP	ETS2
UBQLN1	UBE3A
UBE3A	CEBPA
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	PSEN2
UBQLN1	HCVgp1
HCVgp1	JUN
GABRE	CUX1
CUX1	RECQL5
RECQL5	CREB1
GABRE	EPHB4
EPHB4	APP
CUX1	SATB1
SATB1	EP300
CUX1	BIN1
BIN1	MYC
MYC	CEBPA
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
CUX1	CDK7
CDK7	HSP90AA1
GABRE	ALG9
ALG9	XBP1
XBP1	FOS
GABRE	HLA-A
HLA-A	STAT3
MYD88	IFNA7
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
TP53	AQP1
ATF1	AQP3
E2F4	CAV1
SP1	CAV1
SP1	KRT5
SP3	LCAT
ETS1	LCK
PPARD	LIPA
