GABRA1	PRKCD
PRKCD	SP1
PRKCD	STAT1
STAT1	HSF1
PRKCD	TP53
PRKCD	STAT3
STAT3	JUN
PRKCD	EP300
EP300	RARA
EP300	CREBBP
STAT3	HIF1A
EP300	ARNT
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
STAT3	NCOA1
NCOA1	RARB
PRKCD	HSP90AA1
HSP90AA1	PPARA
NCOA1	RARG
PRKCD	VHL
VHL	GLI1
STAT3	HDAC1
HDAC1	GLI2
PRKCD	GSK3A
GSK3A	GLI3
EP300	ARNTL
EP300	NPAS2
EP300	CLOCK
EP300	ETS1
HSP90AA1	NR3C2
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
GABARAP	FKBP4
FKBP4	HSF1
GABARAP	DVL2
DVL2	TP53
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
GABARAP	SQSTM1
SQSTM1	RARA
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
SQSTM1	HIF1A
NEDD4	SRC
SRC	RXRA
NEDD4	PPARG
PPARG	RXRB
NEDD4	SMAD2
SMAD2	RARB
ATG7	SIRT1
SIRT1	PPARA
TAX1BP1	TNIP1
TNIP1	RARG
ITCH	GLI1
GABARAP	RB1CC1
RB1CC1	SKI
SKI	GLI2
GABARAP	KEAP1
KEAP1	FBXW11
FBXW11	GLI3
KEAP1	HSP90AA1
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
SDCBP2	ZNF581
ZNF581	GOPC
GOPC	HSF1
ZCCHC10	PIN1
PIN1	JUN
PIN1	RARA
TP53	CREBBP
TP53	EP300
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	ARNT
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	RXRA
SDCBP2	C1orf35
C1orf35	APP
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
CEBPA	RARB
PIN1	PPARG
UBE2I	PPARA
SDCBP2	PRR13
PRR13	LNX1
LNX1	ACY3
ACY3	RARG
TRAF6	ITCH
BEND7	TRIM27
TRIM27	HDAC1
TRAF6	KRAS
KRAS	GLI3
IRAK1	HSP90AA1
HSP90AA1	ARNTL
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	NPAS2
CSNK2B	CLOCK
TP53	ETS1
GABRA4	APP
APP	MAPK8
MAPK8	SP1
MAPK8	HSF1
MAPK8	TP53
MAPK8	JUN
APP	PHF8
PHF8	RARA
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
APP	GSK3B
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
MAPK8	CEBPA
APP	RFX5
RFX5	PPARG
AKAP13	PPARA
MAPK8	NCOA3
NCOA3	RARG
APP	MYC
MYC	GLI1
APP	APBB1
APBB1	HDAC1
HDAC1	GLI3
APP	WDR5
WDR5	ARNTL
APP	CSNK1E
CSNK1E	CLOCK
APP	MAPK7
MAPK7	ETS1
APP	C9orf41
C9orf41	NR3C2
GABRB1	NOD1
NOD1	HSP90AA1
HSP90AA1	SP1
HSP90AA1	HSF1
NOD1	RNF34
RNF34	TP53
NOD1	CASP9
CASP9	JUN
NOD1	UBC
UBC	E2F1
E2F1	RARA
NOD1	PSMA7
PSMA7	HIF1A
HSP90AA1	ARNT
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
UBC	CUL1
NOD1	CASP8
CASP8	CEBPB
CEBPB	RARB
UBC	SFPQ
SFPQ	PPARG
UBC	TNIP1
NOD1	CFLAR
CFLAR	ITCH
TP53	HDAC1
HSP90AA1	FBXW11
HSP90AA1	NPAS2
UBC	PPP1CB
PPP1CB	CLOCK
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
TRAK2	PLK1
PLK1	HSF1
TRAK2	GSK3B
GSK3B	TP53
GSK3B	JUN
GSK3B	MAPK1
MAPK1	RARA
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	PIAS2
PIAS2	ARNT
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
