GABRA1	PRKCD
PRKCD	EP300
EP300	CREB1
PRKCD	STAT3
STAT3	NFKB1
EP300	ATF4
EP300	ATF2
STAT3	JUN
STAT3	COPS5
COPS5	CREB3
PRKCD	TP53
TP53	NFYA
NFYA	ATF6B
PRKCD	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
EP300	BRCA1
BRCA1	CREB5
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	AKT1
AKT1	CREB1
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
NEDD4	BTRC
BTRC	ATF4
NEDD4	SMAD3
SMAD3	ATF2
TAX1BP1	ITCH
ITCH	JUN
GABARAP	ATG7
ATG7	SHMT2
SHMT2	CREB3
ITCH	PTCH1
PTCH1	ATF6B
NEDD4	SNCA
SNCA	Dynll1
Dynll1	CREB3L2
GABARAP	ULK1
ULK1	PRKAB2
PRKAB2	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
GABARAP	DVL2
DVL2	TP53
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	CREB1
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	BTRC
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ATF2
ZCCHC10	PIN1
PIN1	JUN
IRAK1	EMD
EMD	CREB3
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	NFYC
NFYC	ATF6B
SDCBP2	PRPF40A
PRPF40A	HNRNPK
HNRNPK	ELAVL1
PRPF40A	UBQLN4
UBQLN4	RUNX1T1
RUNX1T1	CREB3L1
TIFA	TRAF6
TRAF6	TRAF2
TRAF2	CREB5
GABRA4	APP
APP	KAT5
KAT5	CREB1
APP	GSK3B
GSK3B	NFKB1
APP	PSEN2
PSEN2	APH1A
APH1A	ATF4
APP	MAPK8
MAPK8	JUN
APP	EEF1D
EEF1D	HCFC1
HCFC1	CREB3
APP	CUL3
CUL3	NXF1
NXF1	ATF6B
PSEN2	ELAVL1
CUL3	PGRMC1
PGRMC1	CREB3L1
MAPK8	TRAF2
MAPK8	TP53
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	COPS6
COPS6	NFKB1
NOD1	UBC
UBC	BTRC
UBC	CUL3
CUL3	ATF2
NOD1	CASP9
CASP9	JUN
UBC	EMD
UBC	ATF6
ATF6	ATF6B
UBC	PSMB5
PSMB5	RND1
RND1	CREB3L2
UBC	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
RNF34	TRIM23
TRIM23	CREB5
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	CREB1
GSK3B	RELA
RELA	ATF4
GSK3B	SMAD3
GSK3B	JUN
TRAK2	PRKAB2
CREB3L1	CREB3
PRKAB2	TP53BP2
TP53BP2	NXF1
PRKAB2	REL
REL	CEP19
CEP19	CREB3L2
PRKAB2	TRAF2
GSK3B	TP53
GABRB3	PRKACA
PRKACA	CREB1
GABRB3	MEOX2
MEOX2	RELA
RELA	NFKB1
GABRB3	PRKCA
PRKCA	EP300
RELA	JUN
RELA	HDAC3
HDAC3	CREB3
MEOX2	HP1BP3
HP1BP3	NXF1
PRKCA	ELAVL1
MEOX2	PRKAB2
RELA	BRCA1
RELA	TP53
GABRD	UBQLN1
UBQLN1	ATXN3
ATXN3	CREB1
UBQLN1	APP
UBQLN1	PSEN2
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	UBC
UBQLN1	UBQLN4
UBQLN4	NXF1
UBQLN1	RAD23A
RAD23A	TRAF2
RAD23A	TP53
GABRE	CUX1
CUX1	RECQL5
RECQL5	CREB1
GABRE	HLA-A
HLA-A	STAT3
CUX1	SATB1
SATB1	EP300
GABRE	BSCL2
BSCL2	ZDHHC17
ZDHHC17	ATF2
GABRE	ALG9
ALG9	CDC42
CDC42	BNIP2
BNIP2	CREB3
ALG9	XBP1
XBP1	ATF6B
GABRE	FAM189B
FAM189B	WWOX
WWOX	ELAVL1
BSCL2	SCAMP2
SCAMP2	JAGN1
JAGN1	CREB3L1
CUX1	CDK7
CDK7	BRCA1
CUX1	EHMT2
EHMT2	TP53
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
ATF4	CRH
CREB3L2	CRH
CREB3L1	CRH
CREB5	CRH
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CREB1	GSTP1
TP53	PCNA
JUN	TNNC1
NFKB1	TNNC1
