ACHE	COL1A1
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
COL1A1	UBL4A
UBL4A	HSP90AA1
HSP90AA1	ARNT
UBL4A	NCL
NCL	SP1
UBL4A	NPM1
NPM1	TFAP2A
CD44	STAT3
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	HDAC4
HDAC4	HIF1A
KRT31	TSG101
TSG101	TP53
CHRNG	ACTL6B
ACTL6B	CTBP1
CTBP1	CREBBP
TSG101	EP300
EP300	ARNT
HDAC4	SP1
EP300	TFAP2A
EP300	STAT3
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Mapk1
Mapk1	HIF1A
Mapk1	TP53
Rac1	dsh
dsh	MED25
MED25	CREBBP
Rac1	Tuba1a
Tuba1a	HDAC6
HDAC6	EP300
HIF1A	ARNT
TP53	SP1
TP53	TFAP2A
HIF1A	STAT3
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	CTNNB1
CTNNB1	HIF1A
YWHAZ	TP53
YWHAH	ING1
ING1	CREBBP
YWHAH	PAK2
PAK2	EP300
YWHAH	SNRPE
SNRPE	HSP90AA1
CTNNB1	SP1
YWHAZ	PRKCD
PRKCD	STAT3
CHRNA7	FYN
FYN	CTNNB1
FYN	NR3C1
NR3C1	TP53
CTNNB1	CREBBP
FYN	BCL3
BCL3	EP300
FYN	HSP90AA1
BCL3	STAT3
CHRNA9	POM121
POM121	BRCA1
BRCA1	HIF1A
CHRNA9	CHEK1
CHEK1	TP53
CHRNA9	EIF2AK3
EIF2AK3	NFE2L2
NFE2L2	CREBBP
EIF2AK3	HSPA5
HSPA5	EP300
BRCA1	ARNT
BRCA1	SP1
BRCA1	TFAP2A
CHEK1	RB1
RB1	STAT3
CHRNB3	TYRO3
TYRO3	SRC
SRC	STAT3
STAT3	HIF1A
SRC	TP53
SRC	CREBBP
TYRO3	PIK3R1
PIK3R1	EP300
STAT3	SP1
CHRNB4	Ubqln1
TP53	CDKN1A
TP53	CDKN1B
CREBBP	CDKN1A
CREBBP	CDKN1B
EP300	CDKN1A
EP300	CDKN1B
HIF1A	CDKN1A
HIF1A	CDKN1B
ARNT	CDKN1A
ARNT	CDKN1B
SP1	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
