KCNJ11	YWHAB
YWHAB	ABL1
ABL1	JUN
YWHAB	PRKCZ
PRKCZ	SP1
YWHAB	YWHAQ
YWHAQ	YAP1
YWHAB	HES1
HES1	STAT3
YWHAB	HDAC4
HDAC4	STAT1
YWHAQ	SMURF1
SMURF1	NFIC
YWHAB	APP
APP	ELK1
APP	MAPK8
MAPK8	ELK4
HDAC4	SRF
YWHAB	SKP2
SKP2	TCF3
TCF3	ELK3
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
HDAC4	NFKB1
YWHAB	CYFIP2
CYFIP2	SMAD4
ELK1	FLI1
YWHAB	YWHAZ
YWHAZ	WWTR1
WWTR1	TEAD1
YWHAB	TRIM32
TRIM32	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
APP	MYC
KCNJ1	SLC9A3R1
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	JUN
STAT3	SP1
SLC9A3R1	YAP1
SLC9A3R1	PIK3CA
PIK3CA	STAT1
SLC9A3R1	YWHAQ
SLC9A3R1	YWHAZ
YWHAZ	APP
YAP1	MUS81
MUS81	ELK4
CAPN1	FHL2
FHL2	SRF
YWHAZ	CTNNB1
CTNNB1	TCF3
YWHAQ	ESR1
ESR1	STAT5A
YAP1	EGFR
EGFR	STAT5B
SLC9A3R1	RPS3
RPS3	NFKB1
FHL2	SMAD4
YWHAZ	PRKCD
PRKCD	FLI1
YAP1	TEAD1
KCNJ1	SH3RF1
SH3RF1	UBE2D1
UBE2D1	TRIM27
YAP1	TEAD3
CAPN1	HIF1A
HIF1A	MYC
ABCC8	RAPGEF4
RAPGEF4	TRAF2
TRAF2	JUN
RAPGEF4	RAP1A
RAP1A	HDAC1
HDAC1	SP1
TRAF2	UBE2D1
UBE2D1	YAP1
RAP1A	NTRK1
NTRK1	STAT3
NTRK1	STAT1
TRAF2	SMURF1
TRAF2	ELAVL1
ELAVL1	ELK1
ELAVL1	ELK4
ABCC8	KCNJ11
NTRK1	TOP1
TOP1	ELK3
TRAF2	EGFR
EGFR	STAT5A
NTRK1	STAT5B
RAP1A	HSPA4
HSPA4	NFKB1
TRAF2	PIAS2
PIAS2	SMAD4
PIAS2	FLI1
NTRK1	INSR
INSR	TEAD1
NTRK1	GOLGA2
GOLGA2	TEAD4
NTRK1	PHB2
PHB2	TEAD3
RAP1A	BIN1
BIN1	MYC
TFDP2	CCNE2
LEF1	MYC
TCF7	BIRC5
HIF1A	VEGFA
HIF1A	VEGFB
ARNT	FIGF
ARNT	PFKFB3
ARNT	PFKFB4
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
TEAD1	SOX2
TEAD3	CTGF
TCF7L1	AXIN2
TEAD2	CCND1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
PIK3CD	AKT2
PLCG1	EGFR
RXRG	FABP4
TFAP2A	ADRA1A
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
USF1	APOC3
USF2	APOC3
E2F4	CAV1
SP2	CCND1
SP4	CCND1
ATF1	JUN
ATF2	JUN
CREB1	JUN
ERG	JUN
ELK1	TNF
ETS1	VWF
NFIC	VWF
