KCNJ11	YWHAB
YWHAB	APP
APP	MYC
MYC	TFAP2A
YWHAB	HSPA5
HSPA5	EP300
EP300	USF2
YWHAB	ABL1
ABL1	JUN
YWHAB	GRIP1
GRIP1	CREBBP
YWHAB	HDAC4
HDAC4	HIF1A
EP300	ARNT
YWHAB	PRKCZ
PRKCZ	SP1
ABL1	FOS
ABL1	CREB1
YWHAB	C1QBP
C1QBP	CEBPA
YWHAB	RFWD2
RFWD2	JUND
YWHAB	CDC25A
CDC25A	TRIB3
TRIB3	ATF4
HDAC4	NFKB1
PRKCZ	RELA
KCNJ1	SLC9A3R1
SLC9A3R1	YWHAZ
YWHAZ	TP53
TP53	TFAP2A
SLC9A3R1	CAPN1
CAPN1	HIF1A
HIF1A	MYC
SLC9A3R1	YAP1
YAP1	EP300
CAPN1	STAT3
STAT3	JUN
KCNJ1	SLC9A3R2
SLC9A3R2	SMARCA2
SMARCA2	CREBBP
HIF1A	ARNT
STAT3	SP1
KCNJ1	SH3RF1
SH3RF1	UBE2D1
UBE2D1	FOS
YAP1	CREB1
YWHAZ	NFATC4
NFATC4	CEBPA
YWHAZ	RFWD2
EP300	ATF4
SLC9A3R1	RPS3
RPS3	NFKB1
RPS3	RELA
ABCC8	RAPGEF4
RAPGEF4	TRAF2
TRAF2	ELAVL1
ELAVL1	TFAP2A
RAPGEF4	RAP1A
RAP1A	BIN1
BIN1	MYC
TRAF2	USF1
USF1	USF2
TRAF2	JUN
RAP1A	HDAC1
HDAC1	CREBBP
HDAC1	EP300
RAP1A	FAF1
FAF1	HIF1A
TRAF2	PIAS2
PIAS2	ARNT
HDAC1	SP1
TRAF2	UBE2D1
HDAC1	CREB1
ELAVL1	CEBPA
TRAF2	COPS5
COPS5	JUND
JUN	ATF4
RAP1A	HSPA4
HSPA4	NFKB1
RAP1A	NTRK1
NTRK1	RELA
NFKB1	CCL5
MAPK12	IL8
JUN	CCND2
CREB3L3	IL8
CREBBP	TFRC
EP300	TFRC
RXRA	PLTP
RXRB	ACSBG1
MAPK1	IL18
MAPK1	NOS2
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
ETS2	CGA
TP53	CHEK1
SPI1	CHI3L1
MYBL2	COL1A1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
CREB1	IFNG
ETS1	MYB
MYB	MYB
