SMO	NEDD4
NEDD4	EGFR
EGFR	SOS1
EGFR	SOS2
NEDD4	IGF1R
IGF1R	TP53
EGFR	STAT1
EGFR	STAT3
NEDD4	SMAD3
SMAD3	YAP1
SMAD3	LEF1
NEDD4	HGS
HGS	DAZAP2
DAZAP2	TCF7
NEDD4	SMAD7
SMAD7	TCF7L2
DAZAP2	TCF7L1
SMAD3	NCOA1
NCOA1	PPARA
NEDD4	SNCA
SNCA	ELK1
NEDD4	SRC
SRC	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
NEDD4	YY1
YY1	MYC
SMAD3	BRCA1
BRCA1	ELK4
SMAD7	SRF
YY1	TCF3
TCF3	ELK3
HGS	INSR
INSR	TEAD1
SNCA	VPS52
VPS52	TEAD4
YAP1	TEAD3
SMAD3	CEBPA
SMAD3	JUN
NEDD4	CUL1
CUL1	E2F1
NEDD4	AKT1
AKT1	CREB1
SMAD3	EP300
EP300	USF2
SMAD3	FOXO1
SMAD3	FOXO3
SMAD3	ESR1
NR3C2	ATP1A3
GLI2	WNT6
GLI3	BMP2
LEF1	BIRC5
LEF1	CCND1
ARNT	ENO2
ARNT	ALDOA
ARNT	SLC2A1
ARNT	TFRC
ARNT	VEGFB
NFKB1	HIF1A
YAP1	CTGF
YAP1	BBC3
YAP1	ITGB2
YAP1	SERPINE1
YAP1	CCND2
WWTR1	AFP
WWTR1	AREGB
SMAD1	ID3
SMAD3	CTGF
SMAD4	ID1
LEF1	SNAI2
LEF1	SOX2
LEF1	CCND2
TCF7	NKD1
TCF7	CCND3
TCF7L2	CCND2
TEAD1	SNAI2
TEAD4	CCND3
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
LEF1	MITF
PIK3R2	AKT3
NFKB1	PGF
NFKB1	VEGFB
STAT3	VEGFB
STAT3	VEGFC
EPAS1	SLC2A1
EPAS1	VEGFB
MYC	VEGFB
NFKB2	CCND1
NFKB2	BCL2
NFKB2	TRAF6
PIAS2	CDKN2B
FOXO3	BCL2L11
PPARA	SLC27A4
PPARA	APOA5
PPARA	EHHADH
PPARA	HMGCS2
PPARA	SCD5
PPARG	SLC27A4
PPARG	CPT1C
PPARG	ACSL3
PPARG	MMP1
RXRA	SLC27A4
RXRB	APOC3
MAPK3	IL6
MAPK8	TNF
LEF1	ADA
TFAP2A	ADRA1A
CREB1	ADRB2
EGR1	AKR1B1
NFKB1	AKR1B1
E2F1	APAF1
TP53	APCS
USF1	APEX1
E2F4	DHFR
E2F4	POLA
SP1	SPN
NFKB1	TFPI2
ERG	VWF
ETS2	VWF
