CHRM1	GPRASP2
GPRASP2	TXN
TXN	TP53
GPRASP2	RPS6KA5
RPS6KA5	CREB1
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	PPARA
GPRASP2	TRIM32
TRIM32	RXRA
TXN	NR3C1
NR3C1	RXRB
TRIM32	RARA
RARA	RXRG
TXN	NFKB1
TP53	HTT
HTT	ETV4
AGO2	ELAVL1
ELAVL1	ELK1
GPRASP2	AGO1
AGO1	RELA
TP53	TFAP2A
CHRM2	SET
SET	TP53
SET	NR3C1
NR3C1	CREB1
SET	APP
APP	AKAP13
AKAP13	PPARA
CHRM2	Set
Set	Cdk4
Cdk4	CTCF
CTCF	RXRA
NR3C1	NCOR2
NCOR2	RXRG
NR3C1	NFKB1
APP	ELK1
SET	CCNB1
CCNB1	RELA
CHRM3	SET
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
APP	GSK3B
GSK3B	RXRA
TP53	GADD45G
TP53	RPRM
NFKB1	TRAF5
RELA	TRAF5
PPARA	DBI
RXRA	DBI
RXRB	DBI
RXRG	DBI
CREB1	HLA-DPA1
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
