PDE4A	SQSTM1
SQSTM1	YWHAZ
YWHAZ	TP53
SQSTM1	HIF1A
SQSTM1	MAPK1
MAPK1	CREBBP
MAPK1	EP300
HIF1A	ARNT
SQSTM1	Dlg4
Dlg4	PAX6
YWHAZ	FOXO3
PDE4B	MAGEA11
MAGEA11	EP300
EP300	TP53
EP300	HIF1A
EP300	CREBBP
EP300	ARNT
EP300	PAX6
EP300	FOXO3
PDE4C	SRI
SRI	ANXA7
ANXA7	TP53
SRI	STAT3
STAT3	HIF1A
SRI	TCF12
TCF12	CREBBP
STAT3	EP300
STAT3	PML
PML	ARNT
PDE4D	LYN
LYN	TP53
PDE4D	GNB2L1
GNB2L1	HIF1A
LYN	CREBBP
PDE4D	MDM2
MDM2	EP300
GNB2L1	RB1
RB1	ARNT
GNB2L1	TP73
TP73	PAX6
MDM2	FOXO3
PDE3A	UBE4B
UBE4B	TP53
PDE3A	MMS19
MMS19	ESR1
ESR1	HIF1A
PDE3A	JUP
JUP	CDH1
CDH1	CREBBP
PDE3A	GANAB
GANAB	MAPK8
MAPK8	EP300
UBE4B	TP73
UBE4B	MDM2
TP53	CDKN1B
CREBBP	CDKN1B
EP300	CDKN1B
HIF1A	CDKN1B
ARNT	CDKN1B
FOXO3	CDKN1B
PAX6	PDHX
