PTGS2	EP300
EP300	JUN
EP300	SMAD3
SMAD3	YAP1
EP300	SP1
PTGS1	CAV1
CAV1	CSK
CSK	JUN
CAV1	PPP1CA
PPP1CA	YAP1
CAV1	CTNNB1
CTNNB1	SP1
BCL2	BRCA1
BRCA1	JUN
BCL2	TP53BP2
TP53BP2	YAP1
BRCA1	SP1
THBD	F2
F2	SERPINE1
SERPINE1	PSMA3
PSMA3	CDKN1A
CDKN1A	JUN
PSMA3	YWHAQ
YWHAQ	YAP1
F2	ST13
ST13	HSP90AA1
HSP90AA1	SP1
PLAT	LRP1
LRP1	MAPK8IP1
MAPK8IP1	JUN
LRP1	TOM1
TOM1	YAP1
LRP1	APP
APP	MAPK8
MAPK8	SP1
FABP2	AGR2
AGR2	APP
MAPK8	JUN
APP	TAF6
TAF6	YAP1
PPARG	JUN
PPARG	SMAD3
PPARG	SP1
CFTR	PRKDC
PRKDC	JUN
CFTR	XPO1
XPO1	YAP1
CFTR	HSP90AA1
HIF1A	PGK1
HIF1A	VEGFB
TCF7	JUN
USF1	APOC3
USF2	APOC3
