PDE4A	SQSTM1
SQSTM1	MAPK1
MAPK1	PPARG
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
MAPK1	JUN
SQSTM1	NCOR1
NCOR1	PPARA
MAPK1	RXRA
SQSTM1	RARA
RARA	RXRB
SQSTM1	CUL1
CUL1	RXRG
MAPK1	SP1
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	BCL2
BCL2	MYC
MYC	ZBTB17
SQSTM1	TRIM63
TRIM63	PIAS2
SQSTM1	ISG15
ISG15	SMAD4
SQSTM1	YWHAZ
YWHAZ	ABL1
ABL1	FOS
NCOR1	ETS1
YWHAZ	RFWD2
RFWD2	ETV4
SQSTM1	PRKCD
PRKCD	FLI1
YWHAZ	YWHAQ
YWHAQ	YAP1
MAPK1	SMAD1
MAPK1	EP300
EP300	SMAD5
MAPK1	SMAD3
SMAD3	SMAD9
PDE4B	MAGEA11
MAGEA11	EP300
EP300	PPARG
EP300	NFKB1
EP300	RELA
EP300	JUN
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	PPARA
EP300	RXRA
MAGEA11	NR3C1
NR3C1	RXRB
PPARG	RXRG
EP300	SP1
EP300	CREB1
EP300	ZBTB17
MAGEA11	AR
AR	PIAS2
EP300	SMAD4
EP300	FOS
EP300	ETS1
EP300	TP63
TP63	ETV4
EP300	BRCA1
BRCA1	FLI1
EP300	SMAD3
SMAD3	YAP1
EP300	SMAD1
PDE4D	APP
APP	RFX5
RFX5	PPARG
APP	GSK3B
GSK3B	NFKB1
PDE4D	MDM2
MDM2	RELA
MDM2	JUN
APP	AKAP13
AKAP13	PPARA
GSK3B	RXRA
AKAP13	RXRB
MDM2	CUL1
APP	MAPK8
MAPK8	SP1
APP	KAT5
KAT5	CREB1
APP	MYC
MAPK8	PIAS2
APP	CSNK1D
CSNK1D	SMAD4
APP	MAPK7
MAPK7	FOS
MAPK7	ETS1
PDE4D	GNB2L1
GNB2L1	TP63
APP	ELK1
ELK1	FLI1
APP	TAF6
TAF6	YAP1
GSK3B	SMAD1
MDM2	EP300
PDE4D	ARRB1
ARRB1	NOTCH1
NOTCH1	SMAD9
PDE4C	SRI
SRI	STAT3
STAT3	PML
PML	PPARG
STAT3	NFKB1
STAT3	RELA
STAT3	JUN
RELA	PPARA
PML	RXRA
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
STAT3	SP1
STAT3	EP300
PML	PIAS2
PML	FOS
SRI	TCF12
TCF12	SMAD2
SMAD2	ETV4
PIAS2	FLI1
PML	YAP1
STAT3	SMAD1
TCF12	SMAD3
PGD	GNAI3
GNAI3	XPO1
XPO1	PPARG
PGD	SUMO3
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
SUMO3	PML
PML	JUN
SUMO3	UBE2I
PML	SP1
PGD	RPS6KA1
RPS6KA1	CREB1
PGD	EEF2
EEF2	HCFC1
HCFC1	ZBTB17
SUMO3	PIAS2
SUMO3	PIAS3
PIAS3	SMAD4
UBE2I	ETS1
SUMO3	UBA2
UBA2	ETV4
GNAI3	YWHAQ
PGD	P4HB
P4HB	UCHL3
UCHL3	SMAD1
RPS6KA1	TOB1
TOB1	SMAD5
TOB1	SMAD9
GLI2	WNT10A
GLI3	BMP4
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
HIF1A	HKDC1
ARNT	NPPA
ARNT	PGF
RELA	TRAF2
PIK3CG	AKT3
TP53	PERP
EPAS1	TGFB3
ETS1	FIGF
FOS	FIGF
FOS	VEGFB
MYC	CKS2
MYC	VEGFC
RELA	TRAF3
IRF1	IL12B
FOXO3	CDKN1B
ATF4	MCL1
CREB3L1	MCL1
PPARA	ACSBG1
PPARA	APOC3
PPARA	ACSBG2
PPARD	FABP3
PPARD	UCP1
PPARG	GK2
PPARG	ANGPTL4
RXRA	APOA5
RXRA	CYP8B1
RXRA	ACSL3
RXRA	ACOX1
RXRA	PDPK1
RXRA	ACSL5
RXRB	OLR1
MAPK10	IL12B
EGR1	ABCB1
EGR2	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
NFKB1	F3
REL	F3
RELA	F3
CEBPB	F8
AR	F9
SP1	TAF7
POU2F1	TFPI2
