PDE4A	SQSTM1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
SQSTM1	MAPK1
MAPK1	JUN
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	NCOR1
NCOR1	ETS1
MAPK1	CREBBP
MAPK1	EP300
SQSTM1	HIF1A
HIF1A	ARNT
MAPK1	ATF2
SQSTM1	BAG3
BAG3	MAPK11
MAPK1	MAPK12
MAPK12	MAPK13
SQSTM1	YWHAZ
YWHAZ	ABL1
ABL1	FOS
SQSTM1	MYD88
PDE4B	MAGEA11
MAGEA11	EP300
EP300	NFKB1
EP300	RELA
EP300	JUN
EP300	CREB1
EP300	ETS1
EP300	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	ATF2
EP300	MAPK14
EP300	HDAC3
HDAC3	MAPK11
EP300	SMAD4
SMAD4	MAPK13
EP300	FOS
EP300	HDAC6
HDAC6	MYD88
PDE4D	APP
APP	GSK3B
GSK3B	NFKB1
PDE4D	MDM2
MDM2	RELA
MDM2	JUN
APP	KAT5
KAT5	CREB1
APP	MAPK7
MAPK7	ETS1
PDE4D	LYN
LYN	CREBBP
MDM2	EP300
PDE4D	GNB2L1
GNB2L1	HIF1A
GNB2L1	RB1
RB1	ARNT
APP	MAPK8
MAPK8	ATF2
PDE4D	ARRB1
ARRB1	MAPK14
MDM2	PML
PML	MAPK11
APP	MAPK8IP2
MAPK8IP2	MAPK13
MAPK7	FOS
MDM2	MYD88
PDE4C	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	JUN
STAT3	EP300
SRI	TCF12
TCF12	CREBBP
STAT3	HIF1A
STAT3	PML
PML	ARNT
PML	ATF2
SRI	SOD1
SOD1	GPX4
GPX4	MAPK13
PML	FOS
STAT3	IL1RAP
IL1RAP	MYD88
PGD	SUMO3
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
SUMO3	PML
PML	JUN
PGD	RPS6KA1
RPS6KA1	CREB1
SUMO3	UBE2I
UBE2I	ETS1
PML	CREBBP
PGD	TALDO1
TALDO1	TP73
TP73	EP300
PGD	P4HB
P4HB	VCP
VCP	HIF1A
RPS6KA1	NFKBIA
NFKBIA	MAPK14
VCP	MAPK13
PGD	GNAI3
GNAI3	YWHAQ
YWHAQ	SMURF1
SMURF1	MYD88
MAPK14	CXCL1
JUN	CXCL1
NFKB1	CXCL1
MAPK11	CXCL1
MAPK13	CXCL1
RELA	CXCL1
CREBBP	PFKFB4
CREBBP	TFRC
EP300	PFKFB4
EP300	TFRC
HIF1A	PFKFB4
HIF1A	TFRC
ARNT	PFKFB4
ARNT	TFRC
MYD88	CXCL1
NFKB1	CEBPB
NFKB1	CEBPG
RELA	CEBPB
RELA	CEBPG
ATF2	IFNG
CREB1	IFNG
RELA	S100A6
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
