PDE4A	SQSTM1
SQSTM1	MAPK1
MAPK1	SP1
SQSTM1	YWHAZ
YWHAZ	TP53
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	BCL2
BCL2	MYC
PDE4B	MAGEA11
MAGEA11	EP300
EP300	SP1
EP300	TP53
EP300	CREB1
EP300	MYC
PDE4D	APP
APP	MAPK8
MAPK8	SP1
PDE4D	LYN
LYN	TP53
APP	KAT5
KAT5	CREB1
APP	MYC
PDE4C	SRI
SRI	STAT3
STAT3	SP1
SRI	ANXA7
ANXA7	TP53
STAT3	EP300
STAT3	PML
PML	MYC
PGD	SUMO3
SUMO3	PML
PML	SP1
PGD	P4HB
P4HB	SERPINH1
SERPINH1	TP53
PGD	RPS6KA1
RPS6KA1	CREB1
PGD	TALDO1
TALDO1	TP73
TP73	MYC
TP53	CAV1
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
NFKB1	ICAM1
RELA	ICAM1
STAT5A	IFNG
