SCN2A	ANK3
ANK3	TIAM1
TIAM1	MAPK8IP1
MAPK8IP1	JUN
TIAM1	PPP1R9B
PPP1R9B	PPP1CC
PPP1CC	ESR1
TIAM1	BTRC
BTRC	NFKB1
BTRC	RELA
RELA	PPARA
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	RXRA
TIAM1	RAC1
RAC1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
BTRC	NCOR2
NCOR2	RXRG
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	CREB1
BTRC	CTNNB1
CTNNB1	PPARD
CSNK1E	APP
APP	ELK1
BTRC	E2F1
E2F1	SP4
JUN	CCND1
ELK1	CCND1
NFKB1	NFKBIA
RELA	NFKBIA
NFKB1	CCND1
RELA	CCND1
PPARD	ILK
RXRA	ILK
RXRB	ILK
RXRG	ILK
CREB1	HLA-DMA
NFKB1	CEBPG
RELA	CEBPG
CREB1	TWF2
ELK1	TWF2
CREB1	CCND1
ESR1	CCND1
SP4	CCND1
PPARA	NFKBIA
ESR1	TFF1
JUN	TFF1
