SCN2A	ANK3
ANK3	TIAM1
TIAM1	BTRC
BTRC	CAND1
CAND1	NR3C2
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	CREB1
BTRC	TP53
BTRC	E2F1
E2F1	E2F4
TIAM1	RAC1
RAC1	NEDD4
NEDD4	ERG
BTRC	HCFC1
HCFC1	CREB3
BTRC	EP300
EP300	ATF2
TIAM1	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	CDK6
CDK6	ATF6B
BTRC	ATF4
BTRC	ELAVL1
ELAVL1	CREB3L2
PPP1R9B	PPP1CC
PPP1CC	FXYD6
FXYD6	CREB3L1
TIAM1	ANK1
ANK1	OBSCN
OBSCN	BRCA1
BRCA1	CREB5
BTRC	TP63
TP63	ETV4
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	CEBPA
RAC1	HIST1H3A
HIST1H3A	CREBBP
CREBBP	MYBL1
CSNK1E	RBX1
RBX1	MYB
BTRC	SP1
NCOA3	ETS1
CDKN2A	HIF1A
CSNK1E	ARNTL
ARNTL	NPAS2
CSNK1E	CLOCK
EP300	ARNT
EP300	USF2
BTRC	NFKB1
CSNK1E	RORA
RORA	CEBPB
BTRC	MYC
MYC	GLI1
PPP1CC	HDAC1
HDAC1	GLI2
TIAM1	CSNK1A1
CSNK1A1	GLI3
RAC1	VAV1
VAV1	SPI1
BTRC	SMAD4
SMAD4	IRF7
BTRC	MDM2
MDM2	MYD88
RAC1	SFPQ
SFPQ	PPARG
EP300	FOXO1
CREB5	BDNF
NFKB1	BIRC2
NFKB1	BIRC3
NFKB1	XIAP
GLI1	BMP4
GLI1	WNT1
GLI1	WNT2
GLI1	WNT3A
GLI2	GLI1
GLI2	WNT16
GLI3	WNT8B
GLI3	WNT11
NR1H4	SLC51B
NR1H4	SLC51A
E2F3	CCNE1
SMAD2	CDKN1A
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	CCND2
ATF2	PCNA
ATF6B	PCNA
STAT1	MYD88
CREBBP	EDN1
CREBBP	ENO2
CREBBP	TEK
EP300	EDN1
EP300	ENO2
EP300	TEK
HIF1A	EDN1
HIF1A	ENO2
LEF1	BIRC2
LEF1	NKD1
MYC	MMP1
RXRB	DBI
RXRB	FABP1
RXRG	CPT1A
RXRG	CYP4A11
MYD88	IFNA8
NFKB1	IL23A
NFYA	LOC100507709
NFYC	LOC100507709
MAPK1	IL12B
NFATC4	PTGS2
NFIC	ADA
SP1	ADA
CEBPA	ADH7
HIF1A	ADM
CREB1	ADRA1A
CREB1	ARG1
USF2	CALCA
RARB	CRABP2
RARG	CRABP2
USF1	CTSB
SP3	CTSL
JUN	CYP11A1
NFIC	CYP11A1
E2F4	DHFR
SP3	DNASE2
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
ATF2	IFNG
STAT5B	IFNG
USF1	IFNG
TFAP2A	MMP2
TP53	MMP2
CEBPE	MYC
ESR1	MYC
RARA	PLAU
E2F4	RBL1
MYBL2	RBL1
EGR1	RELA
NFKB1	SAA2
RELA	SAA2
SPI1	SCARB1
POU2F1	SFTPA1
NFIC	SFTPC
ETS1	SLC26A3
ATF1	TH
CREM	TH
CREB1	TIMP1
ETV4	TIMP1
STAT1	TIMP1
TFAP2A	TIMP1
POU2F1	VWF
SMAD4	ZFP36
