DRD1	RANBP9
RANBP9	ESR1
ESR1	TP53
RANBP9	NR3C1
NR3C1	CREB1
RANBP9	THRB
THRB	ATF2
ESR1	EP300
EP300	ATF4
RANBP9	COPS5
COPS5	CREB3
CREB3	CREB3L2
COPS5	PGRMC1
PGRMC1	CREB3L1
ESR1	XBP1
XBP1	ATF6B
ESR1	BRCA1
BRCA1	CREB5
RANBP9	AR
AR	E2F4
ESR1	SMAD2
SMAD2	ETV4
RANBP9	APP
APP	HSPA8
HSPA8	ERG
ESR1	SP1
RANBP9	TRAF6
TRAF6	RUNX1
ESR1	NCOR2
NCOR2	RUNX1T1
NR3C1	JUN
NR3C1	NFKB1
RANBP9	UBE2I
UBE2I	ETS1
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	TP53
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	CREB1
EP300	ATF2
GNA13	ARHGEF11
ARHGEF11	RHOA
RHOA	SHMT2
SHMT2	CREB3
ARHGEF11	PLXNB1
PLXNB1	RND1
RND1	CREB3L2
GNA13	PRKAR2A
PRKAR2A	RUNX1T1
RUNX1T1	CREB3L1
HSP90AA1	CDK6
CDK6	ATF6B
MAP3K5	TRAF2
TRAF2	CREB5
GNA13	RDX
RDX	ENO1
ENO1	E2F4
HSP90AA1	BRCA1
HSP90AA1	STK11
STK11	ETV4
MAP3K5	HSPA4
HSPA4	ERG
HSP90AA1	SP1
EP300	RUNX1
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
EP300	NFKB1
EP300	ETS1
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	LMNA
LMNA	PML
PML	ATF2
DRD2	PAWR
PAWR	SHMT2
SHMT2	ATF4
DRD2	EPB41L1
EPB41L1	COPS5
FLNA	REL
REL	CEP19
CEP19	CREB3L2
FLNA	ILF2
ILF2	MOV10
MOV10	ATF6B
EPB41L1	ITPR1
ITPR1	BRCA1
DRD2	CALM1
CALM1	AR
REL	ATXN1
ATXN1	ETV4
CALM1	HSPA4
PPP1R9B	CDKN2A
CDKN2A	SP1
PML	RUNX1
REL	HDAC1
HDAC1	RUNX1T1
FLNA	RBM39
RBM39	JUN
REL	NFKB1
REL	EP300
DRD3	EPB41L1
COPS5	TP53
DRD3	GIPC1
GIPC1	MCM7
MCM7	FHL2
FHL2	CREB1
MCM7	RB1
RB1	ATF2
GIPC1	OGT
OGT	RELA
RELA	ATF4
EPB41L1	PSMB5
PSMB5	RND1
COPS5	NXF1
NXF1	ATF6B
DRD3	RDX
EPB41L1	COPS3
COPS3	RFWD2
RFWD2	ETV4
RDX	HSPA4
RB1	SP1
FHL2	RUNX1
OGT	SIN3A
SIN3A	RUNX1T1
COPS5	JUN
COPS5	NFKB1
GIPC1	ACTN1
ACTN1	PIAS4
PIAS4	ETS1
DRD4	STUB1
STUB1	TP53
DRD4	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	ATF2
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	MAP2K4
MAP2K4	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
RPA1	PGRMC1
DRD4	GRB2
GRB2	RBM33
RBM33	ATF6B
GRB2	KRT15
KRT15	CREB5
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	XRCC5
XRCC5	BRCA1
GRB2	HTT
HTT	ETV4
ARRB2	HSPA8
MAPK1	SP1
STUB1	RUNX1
ARRB2	HDAC2
HDAC2	RUNX1T1
NFKBIA	NFKB1
GRB2	EP300
RUNX1	JUP
RUNX1T1	JUP
GLI3	HHIP
TP53	CDKN1A
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB3L2	MITF
NFYB	HLA-DPA1
NFYB	HLA-DQA1
NFYB	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
JUN	CYP11A1
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
CEBPE	MYB
CEBPE	MYC
ESR1	MYC
JUN	NFKB2
SP1	NFKB2
NFIC	TFPI2
ETS1	TNF
POU2F1	VWF
SMAD4	ZFP36
