GABRA1	PRKCD
PRKCD	EP300
EP300	CREBBP
PRKCD	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	JUN
EP300	FOS
EP300	ETS1
STAT3	HIF1A
EP300	ARNT
PRKCD	APP
APP	MYC
PRKCD	STAT1
EP300	CREB1
EP300	ZBTB17
PRKCD	TP53
TP53	PIAS2
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	CREBBP
TP53	EP300
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
TP53	RELA
ZCCHC10	PIN1
PIN1	JUN
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	FOS
TP53	ETS1
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	ARNT
SDCBP2	C1orf35
C1orf35	APP
TRAF6	STAT3
TIFA	IRAK1
IRAK1	STAT1
TP53	CREB1
IRAK1	HSPB1
HSPB1	ZBTB17
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	PIAS2
GABRA4	APP
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
MAPK8	JUN
APP	MAPK7
MAPK7	FOS
MAPK7	ETS1
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	STAT3
APP	HDAC4
HDAC4	STAT1
APP	KAT5
KAT5	CREB1
MYC	ZBTB17
MAPK8	PIAS2
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	COPS6
COPS6	NFKB1
NOD1	CASP9
CASP9	JUN
NOD1	UBC
UBC	ABL1
ABL1	FOS
NOD1	PSMA7
PSMA7	HIF1A
NOD1	HSP90AA1
HSP90AA1	ARNT
HSP90AA1	MYC
HSP90AA1	STAT3
UBC	BRCA1
BRCA1	STAT1
HSP90AA1	ZBTB17
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
TRAK2	GSK3B
GSK3B	RELA
GSK3B	JUN
GSK3B	BCL3
BCL3	FOS
GSK3B	TP53
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	PIAS2
PIAS2	ARNT
GSK3B	MYC
BCL3	STAT3
GNB2L1	STAT1
GSK3B	CREB1
GABRB3	MEOX2
MEOX2	RELA
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
RELA	NFKB1
RELA	JUN
RELA	FOS
RELA	HIF1A
GABRB3	PRKACA
PRKACA	HSP90AA1
MEOX2	KAT5
KAT5	MYC
RELA	STAT3
MEOX2	CIAPIN1
CIAPIN1	STAT1
PRKACA	CREB1
MEOX2	PRKAB2
GABRD	UBQLN1
UBQLN1	RAD23A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	APP
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBQLN1	MTOR
MTOR	STAT3
MTOR	STAT1
UBQLN1	ATXN3
ATXN3	CREB1
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
GABRE	CUX1
CUX1	SATB1
SATB1	EP300
GABRE	HLA-A
HLA-A	STAT3
GABRE	ALG9
ALG9	XBP1
XBP1	FOS
SATB1	PML
PML	ARNT
CUX1	BIN1
BIN1	MYC
ALG9	RTF1
RTF1	STAT1
CUX1	RECQL5
RECQL5	CREB1
HLA-A	MAGEA4
MAGEA4	PIAS2
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
TAX1BP1	ITCH
ITCH	JUN
SMAD3	FOS
GABARAP	SQSTM1
SQSTM1	HIF1A
NEDD4	YY1
YY1	MYC
GABARAP	TBC1D15
TBC1D15	STAT3
ATG7	STAT1
NEDD4	AKT1
AKT1	CREB1
NEDD4	MYCN
MYCN	ZBTB17
AKT1	PIAS2
TSPO	ATP5F1
ATP5F1	HNRNPA1
HNRNPA1	XRCC6
XRCC6	CREBBP
ATP5F1	KDM1A
KDM1A	EP300
HNRNPA1	NFKBIA
NFKBIA	NFKB1
NFKBIA	RELA
HNRNPA1	HMGA1
HMGA1	JUN
HNRNPA1	UBR1
UBR1	FOS
HNRNPA1	ELAVL1
ELAVL1	ETS1
TSPO	ARF4
ARF4	GNB2L1
HNRNPA1	APP
KDM1A	STAT3
TSPO	NAC089
NAC089	RAB1A
RAB1A	CREB1
HNRNPA1	HSPB1
HNRNPA1	GTF2I
GTF2I	PIAS2
GLI3	BMP4
MAPK9	JUN
CREBBP	PFKFB1
EP300	PFKFB1
HIF1A	PFKFB1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
TP53	PERP
RXRA	APOC3
RXRA	ILK
SPI1	REL
SPI1	CXCR2
POU2F1	TFPI2
