GABRA1	PRKCD
PRKCD	INSR
INSR	IRF7
PRKCD	STAT3
STAT3	IL1RAP
IL1RAP	MYD88
PRKCD	EP300
EP300	TFAP2A
PRKCD	SP1
STAT3	PML
PML	SPI1
PRKCD	ELAVL1
ELAVL1	CEBPA
STAT3	JUN
EP300	ETS1
PRKCD	TP53
STAT3	NFKB1
STAT3	RELA
EP300	FOS
PRKCD	IKBKB
IKBKB	MEOX2
MEOX2	PAX1
STAT3	RB1
RB1	TFDP2
PRKCD	VHL
VHL	GLI1
STAT3	HDAC1
HDAC1	GLI2
PRKCD	GSK3A
GSK3A	GLI3
EP300	CREB1
STAT3	HIF1A
EP300	TP63
TP63	ETV4
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
SP1	POU2F1
APP	HMGA1
HMGA1	POU2F2
EP300	ETS2
APP	MYC
EP300	EGR1
EP300	VDR
EP300	CEBPB
PRKCD	HSP90AA1
HSP90AA1	NFIC
EP300	E2F1
EP300	CREBBP
EP300	ARNT
HSP90AA1	PPARA
PRKCD	HSPA4
HSPA4	ERG
ELAVL1	HOXA5
EP300	USF2
EP300	RARA
STAT3	MAPK1
PRKCD	SNCA
SNCA	MAPK3
NFKB1	IRF8
EP300	IRF1
EP300	ESR1
TP53	TFDP1
EP300	SMAD3
EP300	SMAD4
EP300	REL
REL	NEUROG3
STAT3	NCOA1
NCOA1	RARB
EP300	MAPK14
PML	MAPK11
PRKCD	VCP
VCP	MAPK13
STAT3	MAPK8
TP53	MAPK9
TP53	MAPK10
EP300	IRF5
HDAC1	CREM
PRKCD	FLI1
PRKCD	STAT1
EP300	STAT5A
INSR	STAT5B
EP300	SP3
HSP90AA1	NR3C2
EP300	EPAS1
HSP90AA1	PPARD
EP300	BRCA1
BRCA1	ATF1
EP300	ATF2
STAT3	TRIM28
TRIM28	STAT4
EP300	STAT2
STAT3	STAT6
GABRA3	SDCBP2
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	IRF7
TRAF6	MYD88
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	TFAP2A
TP53	SP1
SDCBP2	PRPF40A
PRPF40A	NONO
NONO	SPI1
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
ZCCHC10	PIN1
PIN1	JUN
TP53	ETS1
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
TP53	RELA
PRPF40A	UBE2I
UBE2I	FOS
PRPF40A	CYFIP1
CYFIP1	MEOX1
MEOX1	PAX1
BEND7	TRIM27
TRIM27	RB1
TRAF6	ITCH
ITCH	GLI1
TRIM27	HDAC1
TRAF6	KRAS
KRAS	GLI3
TP53	CREB1
TRAF6	STAT3
TRAF6	HIF1A
PRPF40A	HTT
HTT	ETV4
UBE2I	RXRA
SDCBP2	C1orf35
C1orf35	APP
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
PRPF40A	XRCC6
XRCC6	POU2F1
XRCC6	POU2F2
TP53	ETS2
TP53	EGR1
TP53	VDR
PRPF40A	HNRNPK
HNRNPK	CEBPB
TRAF6	SMURF1
SMURF1	NFIC
ZNF581	KDM1A
KDM1A	E2F1
TP53	CREBBP
TP53	EP300
HIF1A	ARNT
UBE2I	PPARA
PIN1	PPARG
SDCBP2	SEC23A
SEC23A	HSPA4
TP53	MAPK14
MAPK14	HOXA5
PIN1	RARA
TP53	MAPK1
TP53	MAPK3
TRAF6	IRF8
SEC23A	STUB1
STUB1	IRF1
TP53	ESR1
TP53	SMAD3
ZCCHC10	SNIP1
SNIP1	SMAD4
HSPA4	REL
CEBPA	RARB
IRAK1	BAG3
BAG3	MAPK11
TRAF6	VCP
SDCBP2	C11orf57
C11orf57	MAPK8
TRAF6	IRF5
PRPF40A	PIAS1
PIAS1	FLI1
IRAK1	STAT1
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	STAT5A
TRAF6	NTRK1
NTRK1	STAT5B
PRPF40A	SFPQ
SFPQ	SP3
IRAK1	HSP90AA1
PRPF40A	TERF2IP
TERF2IP	EPAS1
PRPF40A	CSNK2A2
CSNK2A2	ATF1
MAPK8	ATF2
TRIM27	PIAS2
PIAS2	STAT4
STAT1	STAT2
ZCCHC10	EEF1A1
EEF1A1	STAT6
GABRA4	APP
APP	PSEN2
PSEN2	TRAF6
APP	TIRAP
TIRAP	MYD88
MYC	TFAP2A
APP	MAPK8
MAPK8	SP1
MAPK8	SPI1
MAPK8	CEBPA
MAPK8	JUN
APP	MAPK7
MAPK7	ETS1
MAPK8	TP53
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
MAPK7	FOS
APP	HGS
HGS	ESRRG
ESRRG	MEOX2
APP	MCM7
MCM7	RB1
MYC	GLI1
APP	APBB1
APBB1	HDAC1
HDAC1	GLI3
APP	KAT5
KAT5	CREB1
MAPK8	STAT3
MCM7	HIF1A
APP	HSPA8
HSPA8	HTT
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
HSPA8	POU2F1
APP	DDX54
DDX54	NR3C1
NR3C1	ETS2
RELA	EGR1
MYC	VDR
GSK3B	CEBPB
PSEN2	ELAVL1
ELAVL1	NFIC
KAT5	E2F1
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
ELAVL1	ARNT
AKAP13	PPARA
APP	RFX5
RFX5	PPARG
HSPA8	ERG
RELA	USF2
APP	PHF8
PHF8	RARA
APP	SNCA
SNCA	MAPK1
APP	SET
SET	IRF1
DDX54	ESR1
CDC20	TFDP1
GSK3B	SMAD3
APP	CSNK1D
CSNK1D	SMAD4
MAPK8	REL
APP	PAK6
PAK6	MAPK14
APP	SHC1
SHC1	MAPKAPK2
MAPKAPK2	MAPK11
APP	MAPK8IP2
MAPK8IP2	MAPK13
MAPK8	MAPK9
MAPK8IP2	MAPK10
PSEN2	KCNIP3
KCNIP3	CREM
APP	ELK1
ELK1	FLI1
APP	HDAC4
HDAC4	STAT1
SHC1	STAT5A
SHC1	STAT5B
RELA	SP3
APP	C9orf41
C9orf41	NR3C2
MCM7	EPAS1
MAPK8	CTNNB1
CTNNB1	PPARD
ATF2	ATF1
MAPK8	PIAS2
ELAVL1	STAT2
HGS	AHCYL1
