CA6	KRT31
KRT31	PIN1
PIN1	JUN
KRT31	HDAC4
HDAC4	SP1
KRT31	TSG101
TSG101	EP300
EP300	CREBBP
HDAC4	HIF1A
EP300	ARNT
EP300	EPAS1
HDAC4	NFKB1
EP300	ETS1
EP300	STAT3
HDAC4	STAT1
TSG101	TP53
TP53	IRF7
TSG101	MDM2
MDM2	MYD88
EP300	FOS
TSG101	UBE2I
UBE2I	PPARA
EP300	RXRA
TSG101	NR3C1
NR3C1	RXRB
KRT31	LMO4
LMO4	PPARG
PPARG	RXRG
EP300	MYC
PIN1	RELA
PIN1	YAP1
PIN1	SMAD2
EP300	SP3
TSG101	DPYSL2
DPYSL2	LEF1
KRT31	HGS
HGS	DAZAP2
DAZAP2	TCF7
TSG101	DAXX
DAXX	TCF7L2
DAZAP2	TCF7L1
HGS	INSR
INSR	TEAD1
KRT31	PSMA1
PSMA1	TRIM27
TRIM27	TEAD4
YAP1	TEAD3
PIN1	IRF3
KRT31	LIN37
LIN37	E2F4
TSG101	CDKN1A
CDKN1A	CEBPA
LMO4	ESR1
KRT31	SNAI1
SNAI1	EGR1
JUN	STAT4
EP300	ARNTL
KRT31	TRAF4
TRAF4	NPAS2
EP300	CLOCK
GLI3	WNT2B
NR1H4	ABCB4
SMAD2	CDKN2B
ARNTL	PER3
CREB3	IL8
CREB1	IL8
NFATC4	TNF
MAPK8	SMAD4
CREB3L1	IL8
CREB5	PCNA
CREBBP	NOS2
CREBBP	PDK1
CREBBP	VEGFA
CREBBP	HKDC1
EP300	NOS2
EP300	PDK1
EP300	VEGFA
EP300	HKDC1
HIF1A	NOS2
HIF1A	PDK1
ARNT	CDKN1B
ARNT	ENO2
ARNT	ENO3
ARNT	SLC2A1
ARNT	TEK
ARNT	VEGFB
ARNT	VEGFC
YAP1	CTGF
YAP1	AFP
YAP1	ITGB2
YAP1	AREG
YAP1	CCND2
YAP1	CCND3
WWTR1	AREGB
SMAD1	ID1
SMAD3	CTGF
SMAD3	SERPINE1
SMAD4	ID3
TEAD1	CCND1
TEAD4	CCND2
TEAD3	SOX2
EP300	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
NFKB2	CXCL12
RELA	CXCL2
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CA	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
ETS1	MMP1
FOS	MMP1
NFKB1	TRAF4
CREB3	BCL2
RELA	MYB
PPARA	LPL
PPARD	LPL
PPARG	PLIN1
RXRA	EHHADH
RXRA	FADS2
RXRA	CD36
RXRB	CYP7A1
RXRB	DBI
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL3
RXRG	SLC27A4
RXRG	CPT1A
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP27A1
NFYA	HLA-DQA1
NFYC	LOC100507714
MAPK1	IL1B
MAPK1	IL12A
MAPK11	IL23A
RFX5	HLA-DQB1
RFX5	HLA-DRA
RFX5	HLA-DRB1
RFXAP	LOC100507714
BCL6	ADH6
USF1	APOC3
USF2	APOC3
CREB1	ARG1
TFAP2A	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
SP3	DNASE2
SP1	GJA1
CEBPA	GPX4
NFIC	IL6
TFAP2A	IL6
FOS	MT1A
JUN	MT1A
HOXA4	TH
FOS	TIMP1
E2F4	TK1
CEBPB	TOP1
