HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	SMAD3
SMAD3	JUN
SMAD3	MAPK1
CBL	MAPK14
MAPK14	MAPK3
CBL	MAPK8
MAPK8	MYC
SMAD3	FOS
CBL	GRB2
GRB2	EP300
EP300	ETS1
CBL	CTNNB1
CTNNB1	HIF1A
CBL	ABL1
ABL1	CREB1
CTNNB1	CREBBP
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
GRB2	TSG101
TSG101	NFKB2
SMAD3	JUND
EP300	ARNT
GRB2	HSP90AA1
HSP90AA1	NFIC
CREBBP	CREM
EP300	TFAP2A
MAPK14	ATF6
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
FLNA	RBM39
RBM39	JUN
FLNA	ITGB6
ITGB6	MAPK1
DRD2	CALM1
CALM1	SNCA
SNCA	MAPK3
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
FLNA	LMNA
LMNA	PML
PML	FOS
FLNA	REL
REL	EP300
EPB41L1	COPS5
COPS5	HIF1A
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
REL	CREBBP
REL	NFKB1
REL	RELA
REL	NFKB2
COPS5	JUND
CALM1	HSP90AA1
HSP90AA1	ARNT
CALM1	CASP8AP2
CASP8AP2	CREM
LMNA	RB1
RB1	TFAP2A
CALM1	GTF2I
GTF2I	ATF6
NFKB1	BIRC3
RELA	BIRC3
TP53	CDKN1B
CREBBP	CDKN1B
EP300	CDKN1B
HIF1A	CDKN1B
ARNT	CDKN1B
NFKB1	HIF1A
RELA	HIF1A
CREB1	MITF
CREBBP	MITF
EP300	MITF
MAPK1	CDK4
MAPK3	CDK4
NFKB2	CCL19
TP53	DDB2
TP53	BAX
TP53	THBS1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
NFKB2	BIRC3
NFKB1	IL18
MAPK1	IL18
MAPK3	IL18
RELA	IL18
HIF1A	BNIP3
TP53	CHEK1
CREB1	F3
JUN	F3
JUND	F3
NFKB1	F3
RELA	F3
CREB1	PLAT
CREM	PLAT
JUN	PLAT
JUND	PLAT
NFIC	PLAT
TFAP2A	PLAT
ATF6	XBP1
