CA1	TFCP2
TFCP2	HDAC1
HDAC1	NFKB1
TFCP2	HDAC2
HDAC2	RELA
TFCP2	SUMO1
SUMO1	UBE2I
UBE2I	PPARA
TFCP2	EAF1
EAF1	TPM1
TPM1	JUND
SUMO1	PML
PML	FOS
HDAC2	SP1
PML	JUN
SUMO1	DAXX
DAXX	ETS1
HDAC1	STAT3
SUMO1	TP53
HDAC2	MYC
HDAC1	CREB1
TP53	TFAP2A
HDAC2	CREBBP
HDAC1	EP300
HDAC2	HIF1A
PML	ARNT
UBE2I	WT1
HDAC2	ESR1
TP53	EGR1
SUMO1	PIAS4
PIAS4	LEF1
SUMO1	HGS
HGS	DAZAP2
DAZAP2	TCF7
PML	TCF7L2
TFCP2	CDC73
CDC73	CTNNB1
CTNNB1	TCF7L1
PML	YAP1
YAP1	TEAD1
HDAC1	TRIM27
TRIM27	TEAD4
HDAC2	PHB2
PHB2	TEAD3
TP53	NFYA
TP53	NFYB
HDAC1	TBP
TBP	NFYC
TFCP2	APBB1
APBB1	APP
APP	RFX5
EAF1	MLLT1
MLLT1	RFXAP
HDAC2	CIITA
CIITA	RFXANK
CDC73	HSP90AA1
HSP90AA1	NFIC
HDAC2	SP3
DAXX	SMAD4
PML	ATF2
HDAC1	PPARG
HDAC1	STAT1
CA2	NONO
NONO	HDAC3
HDAC3	NFKB1
HDAC3	RELA
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	HSP90AA1
HSP90AA1	PPARA
SLC4A1	CLU
CLU	MAPK9
MAPK9	JUND
NONO	SPI1
SPI1	FOS
CDKN2A	SP1
HDAC3	JUN
SPI1	ETS1
NONO	SMARCA4
SMARCA4	STAT3
CDKN2A	TP53
CDKN2A	MYC
NONO	PPP1CA
PPP1CA	CREB1
CDKN2A	BRCA1
BRCA1	TFAP2A
SMARCA4	CREBBP
NONO	CTTN
CTTN	EP300
CDKN2A	HIF1A
BRCA1	ARNT
NONO	U2AF2
U2AF2	WT1
SMARCA4	ESR1
CDKN2A	EGR1
SMARCA4	CTNNB1
CTNNB1	LEF1
NONO	ORC5
ORC5	TAX1BP1
TAX1BP1	DAZAP2
CA2	SLC9A1
SLC9A1	DAXX
DAXX	TCF7L2
PPP1CA	YAP1
SMARCA4	NCOA1
NCOA1	TEAD1
NONO	HDAC1
CDKN2A	E2F1
E2F1	TEAD3
BRCA1	NFYA
CA2	HSPD1
HSPD1	GAPDH
GAPDH	NFYC
HSPD1	APP
CDKN2A	NCL
NCL	RFXAP
SMARCA4	CIITA
NONO	SFPQ
SFPQ	SP3
MAPK9	ATF2
SFPQ	PPARG
SMARCA4	STAT1
CA4	PIH1D1
PIH1D1	POLR2L
POLR2L	REL
REL	NFKB1
PIH1D1	POLR2A
POLR2A	RELA
PIH1D1	PPP1CA
PPP1CA	NCOR1
NCOR1	PPARA
PIH1D1	KMT2A
KMT2A	MEN1
MEN1	JUND
PIH1D1	POLR2E
POLR2E	FOS
POLR2L	ESR1
ESR1	SP1
KMT2A	CREBBP
CREBBP	JUN
CREBBP	ETS1
ESR1	STAT3
PPP1CA	TP53
CA4	PRDX2
PRDX2	APP
APP	MYC
PPP1CA	BRCA1
POLR2A	EP300
ESR1	HIF1A
MEN1	WT1
CREBBP	EGR1
PIH1D1	RUVBL1
RUVBL1	LEF1
PPP1CA	ZFYVE9
ZFYVE9	DAZAP2
MEN1	TCF7L2
PIH1D1	RUVBL2
RUVBL2	CTNNB1
PRDX2	UBE2H
UBE2H	TRIM27
YAP1	TEAD3
CREBBP	NFYB
PPP1CA	CDK2
CDK2	NFYC
KMT2A	NCL
PIH1D1	PPP1CC
PPP1CC	RAF1
RAF1	RFXANK
RUVBL1	ELAVL1
ELAVL1	NFIC
ESR1	SP3
KMT2A	SKP2
SKP2	SMAD4
RUVBL2	ATF2
CREBBP	PPARG
PIH1D1	TYK2
TYK2	STAT1
NFKB1	BIRC2
RELA	BIRC2
SMAD4	CDKN1A
TP53	CDKN1A
ESR1	ATP2B1
JUN	CCND3
TP53	CDKN1B
CREBBP	CDKN1A
CREBBP	CDKN1B
CREBBP	VEGFB
EP300	CDKN1A
EP300	CDKN1B
EP300	VEGFB
HIF1A	CDKN1A
HIF1A	CDKN1B
HIF1A	VEGFB
ARNT	CDKN1A
ARNT	CDKN1B
ARNT	VEGFB
YAP1	BIRC2
YAP1	AXIN1
YAP1	CCND3
LEF1	BIRC2
LEF1	AXIN1
LEF1	CCND3
TCF7	BIRC2
TCF7	AXIN1
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	AXIN1
TCF7L2	CCND3
TEAD1	BIRC2
TEAD1	AXIN1
TEAD1	CCND3
TEAD4	BIRC2
TEAD4	AXIN1
TEAD4	CCND3
TEAD3	BIRC2
TEAD3	AXIN1
TEAD3	CCND3
TCF7L1	BIRC2
TCF7L1	AXIN1
TCF7L1	CCND3
STAT1	CCND3
STAT3	CCND3
NFKB1	NFKBIA
RELA	NFKBIA
TP53	THBS1
NFKB1	VEGFB
RELA	VEGFB
STAT1	VEGFB
STAT3	VEGFB
ETS1	CDK4
ETS1	VEGFB
FOS	CDK4
FOS	VEGFB
JUN	CDK4
JUN	VEGFB
MYC	CDK4
MYC	VEGFB
NFKB1	TRAF5
RELA	TRAF5
PPARA	ACSL3
PPARG	ACSL3
CREB1	HLA-DMB
CREB1	CD74
NFYA	HLA-DMB
NFYA	CD74
NFYB	HLA-DMB
NFYB	CD74
NFYC	HLA-DMB
NFYC	CD74
RFX5	HLA-DMB
RFX5	CD74
RFXAP	HLA-DMB
RFXAP	CD74
RFXANK	HLA-DMB
RFXANK	CD74
SP1	AGT
TP53	BAK1
NFIC	C4BPB
ATF2	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
ETS1	CSNK2B
STAT3	CSRP1
NFIC	HSPA1A
TFAP2A	HSPA1A
PPARA	NFKBIA
MYC	NME1
TP53	NME1
FOS	NQO1
JUND	NQO1
MYC	NRAS
CREB1	NRAS
JUN	NRAS
TFAP2A	NRAS
MYC	ODC1
CREB1	ODC1
SP1	ODC1
WT1	ODC1
ATF2	PLAT
CREB1	PLAT
JUN	PLAT
JUND	PLAT
NFIC	PLAT
TFAP2A	PLAT
CREB1	POLD2
JUN	POLD2
NFIC	POLD2
TFAP2A	POLD2
TP53	PTTG1
EGR1	SOD1
SP1	SOD1
WT1	SOD1
EGR1	THBS1
WT1	THBS1
