HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NR3C2
CBL	CTNNB1
CTNNB1	SP1
CBL	ABL1
ABL1	CREB1
ADRA2A	UCHL1
UCHL1	HSP90AA1
UCHL1	CTNNB1
UCHL1	TP53
TP53	CREB1
HTR2C	CALM1
CALM1	HSP90AA1
CALM1	ESR1
ESR1	SP1
CALM1	AKT1
AKT1	CREB1
OPRK1	SIAH1
SIAH1	TNK2
TNK2	HSP90AA1
SIAH1	STAT3
STAT3	SP1
OPRK1	SIAH2
SIAH2	KAT5
KAT5	CREB1
ADRA2C	UCHL1
HTR7	CUL3
CUL3	HSP90AA1
CUL3	CTNNB1
CUL3	ATF2
ATF2	CREB1
ADRA1B	AP2M1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
ADRA1D	DTNA
DTNA	MYO1E
MYO1E	CAND1
CAND1	NR3C2
DTNA	NUP62
NUP62	SP1
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
DRD2	PAWR
PAWR	CAND1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD3	EPB41L1
EPB41L1	APP
APP	C9orf41
C9orf41	NR3C2
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
MCM7	FHL2
FHL2	CREB1
SLC6A2	SNCA
SNCA	APP
SNCA	MAPK8
MAPK8	SP1
SNCA	AKT1
SLC6A4	SNCA
SLC6A3	TGFB1I1
TGFB1I1	NR3C1
NR3C1	HSP90AA1
TGFB1I1	SMAD3
SMAD3	SP1
NR3C1	CREB1
HTR2B	AGTR1
AGTR1	ARRB2
ARRB2	PTGES3
PTGES3	NR3C2
AGTR1	MAPK1
MAPK1	SP1
ARRB2	AKT1
DRD1	RANBP9
RANBP9	APP
RANBP9	ESR1
RANBP9	NR3C1
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	SP1
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
ADRB1	ARRB2
ARRB2	MAPK1
ADRB2	ARRB2
ADRB2	STAT3
ADRB2	MAPK14
MAPK14	CREB1
CREB5	BDNF
RELA	HDAC1
RELA	HDAC2
POU2F1	IL2
RARA	PLAU
