HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	PPARA
CBL	CTNNB1
CTNNB1	PPARG
CBL	YWHAZ
YWHAZ	TP53
CTNNB1	SP1
CBL	SMAD3
SMAD3	CEBPA
CBL	HSPA8
HSPA8	POU2F1
HSPA8	RELA
CTNNB1	ESR1
CBL	BAG1
BAG1	RARA
SMAD3	JUN
CBL	ABL1
ABL1	CREB1
GRB2	EP300
EP300	SP3
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
UCHL1	UBE2I
UBE2I	PPARA
UCHL1	CTNNB1
UCHL1	TP53
UCHL1	CDK4
CDK4	CEBPA
UCHL1	HSPA8
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
ADRA2A	GNB1
GNB1	PAK1
PAK1	ESR1
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RARA
GNAI2	ITCH
ITCH	JUN
TP53	CREB1
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
HTR2C	CALM1
CALM1	DCUN1D1
DCUN1D1	NFKB1
CALM1	HSP90AA1
HTR2C	DLG4
DLG4	PRKCA
PRKCA	PPARG
DLG4	ERBB4
ERBB4	TP53
CALM1	ESR1
ESR1	SP1
DLG4	MDM2
MDM2	CDKN1A
CDKN1A	CEBPA
DLG4	HGS
HGS	HSPA8
MDM2	RELA
CALM1	AKT1
AKT1	RARA
MDM2	JUN
AKT1	CREB1
ESR1	SP3
OPRK1	SIAH1
SIAH1	STAT3
STAT3	NFKB1
SIAH1	UBE2I
SIAH1	CTNNB1
SIAH1	TXN
TXN	TP53
STAT3	SP1
OPRK1	SIAH2
SIAH2	KAT5
KAT5	CEBPA
SIAH1	GAPDH
GAPDH	POU2F1
STAT3	RELA
SIAH1	BAG1
STAT3	JUN
KAT5	CREB1
SIAH1	PIAS1
ADRA2C	UCHL1
TP53	RELA
CTNNB1	EP300
EP300	RARA
UBE2I	JUN
ADRA2C	EIF2B1
EIF2B1	HNRNPL
HNRNPL	SFPQ
SFPQ	SP3
HTR7	CUL3
CUL3	NFKB1
CUL3	HSP90AA1
CUL3	CTNNB1
CUL3	YWHAZ
CUL3	ATF2
ATF2	CEBPA
CUL3	XRCC5
XRCC5	POU2F1
CUL3	KPNA2
KPNA2	RELA
CUL3	SNW1
SNW1	RARA
ATF2	JUN
ATF2	CREB1
CUL3	RPA2
RPA2	SFPQ
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARA
