NISCH	IRS1
IRS1	APP
APP	MYC
MYC	TFAP2A
IRS1	SIRT1
SIRT1	JUN
IRS1	ESR1
ESR1	SP1
APP	MAPK8
MAPK8	SPI1
IRS1	INSR
INSR	IRF7
IRS1	CBLB
CBLB	MYD88
APP	RFX5
RFX5	PPARG
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
APP	MAPK7
MAPK7	ETS1
IRS1	GRB2
GRB2	ALOX5
ALOX5	MEOX1
MEOX1	PAX1
IRS1	AKT1
AKT1	CREB1
SIRT1	PPARA
SIRT1	FOS
IRS1	SOCS3
SOCS3	NFKB1
ESR1	HIF1A
IRS1	IGF1R
IGF1R	TP53
GRB2	HTT
HTT	ETV4
IRS1	HDAC2
HDAC2	GLI1
ESR1	HDAC1
HDAC1	GLI2
ESR1	CREBBP
CREBBP	GLI3
GRB2	HSP90AA1
HSP90AA1	NFIC
APP	HSPA8
HSPA8	ERG
HDAC2	PPARD
MAPK8	CEBPA
GRB2	EP300
EP300	ARNT
GRB2	MAPK9
APP	MAPK8IP2
MAPK8IP2	MAPK10
APP	C9orf41
C9orf41	NR3C2
ESR1	BRCA1
BRCA1	ATF1
SIRT1	HNF1A
ESR1	RELA
ESR1	E2F1
HSPA8	POU2F1
CREB3L2	BDNF
CREB5	BDNF
ATF6B	PDYN
ATF4	PDYN
CREB3L3	ARC
CREB5	ARC
NFKB1	BIRC3
NFKB1	BCL2L1
RELA	BIRC3
GLI1	WNT4
GLI1	WNT1
GLI1	WNT5A
GLI1	WNT8A
GLI1	WNT9B
GLI2	GLI1
GLI2	PTCH1
MAPK13	IL8
RELA	IL8
MAPK12	CXCL1
CREB3	IL8
NFKB1	TNF
CREB3L1	IL8
CREBBP	SERPINE1
CREBBP	VEGFA
EP300	SERPINE1
EP300	VEGFA
HIF1A	SERPINE1
STAT2	MYC
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
RELA	VEGFC
STAT1	FIGF
STAT3	VEGFA
FOS	IL8
HIF1A	PDGFB
JUN	MMP1
JUN	PGF
MYC	MMP1
MYC	VEGFA
NFKB1	TRAF6
NFKB2	XIAP
NFKB2	BIRC7
RELA	TRAF4
CREB3L4	MCL1
NFKB1	MYB
CREB5	MCL1
PPARA	FABP1
PPARA	ACAA1
PPARA	SCP2
PPARD	ILK
PPARD	ACOX3
PPARG	ACSL4
PPARG	LPL
RXRA	NR1H3
RXRA	DBI
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	DBI
RXRB	EHHADH
RXRB	FABP4
RXRB	FABP3
RXRB	SLC27A1
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1A
RXRG	CPT1B
RXRG	CPT2
RXRG	CYP7A1
MYD88	IFNA10
NFYA	LOC100509457
NFYC	HLA-DMA
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK10	IL6
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	MMP7
TCF7L1	PPARD
CREB1	ATP1A1
NFKB1	B2M
SP3	DNASE2
MYC	EIF4E
NFKB1	ELF3
RELA	ELF3
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
CEBPA	F9
EGR1	FCER2
PAX5	FCER2
CREB1	FN1
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
WT1	MYB
E2F4	MYC
MYC	MYC
SP3	PFKP
RARA	PLAU
POU2F1	PRL
CREB1	PTGS2
REL	PTGS2
EGR1	PTP4A1
MYBL2	RBL1
SP1	RELA
SP1	RPL15
RARA	S100A9
RELA	SAA2
SPI1	SERPINB1
EGR1	SERPINE1
PPARG	SERPINE1
NFIC	SFTPC
EGR1	SOD1
