NISCH	IRS1
IRS1	ESR1
ESR1	SP1
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
IRS1	APP
APP	MYC
MYC	ZBTB17
IRS1	AKT1
AKT1	PIAS2
ESR1	HIF1A
APP	RFX5
RFX5	PPARG
IRS1	SOCS3
SOCS3	NFKB1
GRB2	HSP90AA1
HSP90AA1	NFIC
EP300	ARNT
APP	MAPK8
MAPK8	SPI1
ESR1	SP3
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
GRB2	REL
MYC	TFAP2A
IRS1	IGF1R
IGF1R	TP53
EP300	ATF4
AKT1	CREB1
APP	MAPK7
MAPK7	ETS1
MAPK8	CEBPA
IRS1	SIRT1
SIRT1	JUN
ESR1	BRCA1
BRCA1	ATF1
MAPK8	ATF2
IRS1	YWHAE
YWHAE	FOXO3
ESR1	HDAC3
HDAC3	CREB3
GRB2	RBM33
RBM33	ATF6B
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	CREB3L2
IRS1	HDAC2
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
GRB2	KRT15
KRT15	CREB5
APP	TAF6
TAF6	YAP1
HDAC2	GLI1
ESR1	HDAC1
HDAC1	GLI2
CREBBP	GLI3
SIRT1	PPARA
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
ATF4	CRH
CREB3L2	CRH
CREB3L1	CRH
CREB5	CRH
CREB3	PDYN
CREB1	PDYN
ATF2	PDYN
ATF6B	PDYN
ATF4	PDYN
CREB3L2	PDYN
CREB3L1	PDYN
CREB5	PDYN
GLI1	WNT5A
GLI2	WNT5A
GLI3	WNT5A
ZBTB17	CDKN2B
JUN	CDK5
CREBBP	LDHA
CREBBP	PFKFB3
EP300	LDHA
EP300	PFKFB3
HIF1A	LDHA
HIF1A	PFKFB3
ARNT	LDHA
ARNT	PFKFB3
YAP1	ITGB2
TP53	RPRM
TP53	SIAH1
TP53	TP73
PIAS2	CDKN2B
FOXO3	PCK2
FOXO3	RBL2
PPARG	OLR1
PPARG	PCK2
RXRA	OLR1
RXRA	PCK2
RXRB	OLR1
RXRB	PCK2
RXRG	OLR1
RXRG	PCK2
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
SPI1	CD14
CREB1	HLA-DMB
PPARG	SAT1
NFIC	ADA
SP1	ADA
SP1	ADH6
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
SP1	APEX1
SP1	CD14
SP3	CD14
SP1	CD44
NFKB1	CD83
SP1	CD83
SP3	CD83
SP1	CD99
ETS1	CSNK2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CREB1	F3
JUN	F3
NFKB1	F3
REL	F3
HIF1A	ITGB2
SPI1	ITGB2
TFAP2A	KRT14
SP1	KRT5
TFAP2A	KRT5
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
PPARA	LIPA
PPARG	LIPA
CEBPA	PCK2
NFIC	PCK2
TP53	PLK1
ATF4	PPP1R15A
TP53	S100B
JUN	SERPINB2
SP1	SERPINB2
REL	TNFSF10
