ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	HDAC1
HDAC1	CREBBP
HDAC1	EP300
RAP1A	FAF1
FAF1	HIF1A
RAPGEF4	TRAF2
TRAF2	PIAS2
PIAS2	ARNT
RAP1A	CDC42
CDC42	TP53
HDAC1	SP1
PPARG	CREBBP
PPARG	EP300
EP300	HIF1A
EP300	ARNT
PPARG	TFAP2A
TFAP2A	TP53
PPARG	SP1
RBPJ	FCER2
CTNNB1	CCND3
ELK1	XIAP
ELK1	CCND1
ATF2	PCNA
NFATC2	TNF
RELA	IL6
CREB3L2	IL8
CREB3L2	PCNA
CREBBP	EDN1
CREBBP	LDHA
CREBBP	PFKL
CREBBP	BCL2
CREBBP	SLC2A1
EP300	EDN1
EP300	LDHA
EP300	PFKL
EP300	BCL2
EP300	SLC2A1
HIF1A	EDN1
HIF1A	LDHA
MAPK10	TNF
MAPK13	IL1A
PPARG	MMP9
