HTR2A	CBL
CBL	MAPK8
MAPK8	HSF1
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
GRB2	EP300
EP300	TFAP2A
CBL	CTNNB1
CTNNB1	SP1
CBL	HSPA4
HSPA4	NFKB1
EP300	EGR1
CBL	HSPA8
HSPA8	RELA
HTR2C	CALM1
CALM1	HSPA4
HSPA4	HSF1
CALM1	HSP90AA1
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
CALM1	ESR1
ESR1	SP1
CALM1	DCUN1D1
DCUN1D1	NFKB1
HTR2C	DLG4
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
DLG4	MDM2
MDM2	RELA
SLC6A4	SNCA
SNCA	MAPK8
SNCA	EEF1A1
EEF1A1	HSP90AA1
SNCA	APP
APP	MYC
MYC	TFAP2A
MAPK8	SP1
SNCA	HSPA4
SLC6A4	CALR
CALR	PFDN5
PFDN5	EGR1
SNCA	HSPA8
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	HSPB1
HSPB1	HSF1
YWHAQ	SMURF1
SMURF1	NFIC
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
YWHAQ	E2F1
E2F1	NFKB1
YWHAQ	PSMA3
PSMA3	EGR1
S1PR1	TRIP6
TRIP6	UBE2C
UBE2C	RELA
SLC6A2	SNCA
SLC6A2	ACTB
ACTB	EP300
SLC6A2	STX1A
STX1A	PSMA3
SLC6A3	TGFB1I1
TGFB1I1	HSPB1
TGFB1I1	SMAD3
SMAD3	SMURF1
SLC6A3	EPS15
EPS15	TFAP2A
TGFB1I1	NR3C1
NR3C1	NFKB1
SLC6A3	STX1A
NR3C1	RELA
ADRA1B	AP2M1
AP2M1	EEF1A1
EEF1A1	CBS
CBS	HSF1
AP2M1	EPS15
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	HSPA8
ADRA2A	UCHL1
UCHL1	UBE2I
UBE2I	HSF1
UCHL1	HSP90AA1
ADRA2A	GNAI2
UCHL1	CTNNB1
UCHL1	COPS5
COPS5	NFKB1
UCHL1	TP53
TP53	EGR1
NPM1	RELA
FOXO1	PCK1
FOXO1	PCK2
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK3	IL12A
E2F4	CAV1
SP1	CAV1
JUND	IVL
ATF2	JUN
CREB1	JUN
ERG	JUN
