HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	ATF2
CBL	CTNNB1
CTNNB1	COPS5
COPS5	CREB3
CTNNB1	ELAVL1
ELAVL1	CREB3L2
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
CBL	GRB2
GRB2	KRT15
KRT15	CREB5
GRB2	RBM33
RBM33	ATF6B
GRB2	EP300
EP300	ATF4
SMAD3	E2F4
CTNNB1	BRCA1
CBL	EGFR
EGFR	STAT3
EGFR	STAT1
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
HTR2C	CALM1
CALM1	AKT1
AKT1	CREB1
DLG4	MDM2
MDM2	PML
PML	ATF2
CALM1	STX8
STX8	CREB3
DLG4	PRKCA
PRKCA	ELAVL1
MDM2	PGRMC1
PGRMC1	CREB3L1
MDM2	TRIM23
TRIM23	CREB5
CALM1	ESR1
ESR1	XBP1
XBP1	ATF6B
DLG4	DLG1
DLG1	BTRC
BTRC	ATF4
CALM1	AR
AR	E2F4
CALM1	ITPR1
ITPR1	BRCA1
DLG4	ERBB2
ERBB2	STAT3
HTR2C	MPDZ
MPDZ	KIT
KIT	STAT1
SLC6A4	SNCA
SNCA	PTK2
PTK2	TP53
SNCA	AKT1
SNCA	MAPK8
MAPK8	ATF2
SNCA	MEF2D
MEF2D	COPS5
SNCA	Dynll1
Dynll1	CREB3L2
SNCA	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
MAPK8	TRAF2
TRAF2	CREB5
SLC6A4	CALR
CALR	HLA-E
HLA-E	ATF6B
SNCA	CLTC
CLTC	EP300
MEF2D	HDAC3
HDAC3	E2F4
AKT1	BRCA1
PTK2	STAT3
PTK2	STAT1
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	PTK2
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
TRIP6	CREB5
CREB5	ATF2
TRIP6	SRC
SRC	HDAC3
HDAC3	CREB3
S1PR1	GNAI3
GNAI3	XPO1
XPO1	ELAVL1
MDFI	PRKAB2
PRKAB2	CREB3L1
S1PR1	WWP2
WWP2	PTCH1
PTCH1	ATF6B
GNAI3	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
XPO1	E2F4
TRIP6	POM121
POM121	BRCA1
GNAI3	GNB2
GNB2	STAT3
XPO1	STAT1
SLC6A2	SNCA
SNCA	UBC
UBC	ATF6
ATF6	ATF6B
SLC6A2	ACTB
ACTB	EP300
SLC6A3	TGFB1I1
TGFB1I1	NR3C1
NR3C1	TP53
NR3C1	CREB1
TGFB1I1	SMAD3
SMAD3	JUN
JUN	CREB3
SLC6A3	SNCA
SLC6A3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
SMAD3	NFYC
NFYC	ATF6B
NEDD4	BTRC
SMAD3	BRCA1
NR3C1	STAT3
TGFB1I1	PTK2
ADRA1B	AP2M1
AP2M1	BCR
BCR	TP53
AP2M1	CLTC
EP300	CREB1
AP2M1	RUVBL2
RUVBL2	ATF2
AP2M1	STX8
CREB3	CREB3L2
AP2M1	CSNK2B
CSNK2B	PRKAB2
AP2M1	EPS15
EPS15	TRAF2
AP2M1	UBC
BCR	RB1
RB1	E2F4
CSNK2B	BRCA1
EP300	STAT3
EP300	STAT1
ADRA2A	UCHL1
UCHL1	TP53
TP53	CREB1
ADRA2A	GNAO1
GNAO1	RGS20
RGS20	RUVBL2
UCHL1	COPS5
UCHL1	CTNNB1
ADRA2A	GNAI2
GNAI2	MDFI
RGS20	CREB5
UCHL1	CDK6
CDK6	ATF6B
GNAI2	GNAI3
GNAI2	NPM1
NPM1	BRCA1
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
MTOR	STAT1
STAT3	PIM1
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
TEAD1	BIRC2
EGR1	COL2A1
SP1	COL2A1
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
CEBPE	MYB
BCL6	NFKB1
POU2F1	VWF
SMAD4	ZFP36
