HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	CTNNB1
CTNNB1	HIF1A
CBL	SMAD3
SMAD3	JUN
CBL	ABL1
ABL1	CREB1
CTNNB1	SP1
SMAD3	E2F4
CBL	GRB2
GRB2	TSG101
TSG101	NFKB2
GRB2	EP300
EP300	TFAP2A
EP300	ETS1
CBL	MAPK8
MAPK8	ELK1
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
SMAD3	YAP1
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
CTNNB1	CREBBP
EP300	ARNT
CBL	EGFR
EGFR	STAT1
CTNNB1	BRCA1
BRCA1	NFYA
GRB2	NFYB
SMAD3	NFYC
CTNNB1	APP
APP	RFX5
GRB2	NCL
NCL	RFXAP
CTNNB1	HDAC4
HDAC4	RFXANK
SMAD3	FOS
MAPK8	MYC
EGFR	STAT3
CTNNB1	PPARD
GRB2	HSP90AA1
HSP90AA1	PPARA
CTNNB1	PPARG
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CTNNB1	ESR1
HSP90AA1	NFIC
MAPK8	IRF3
HSPA8	ERG
EP300	ETS2
CBL	BAG1
BAG1	RARA
EP300	ATF4
EP300	MYB
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
HTR2C	CALM1
CALM1	DCUN1D1
DCUN1D1	NFKB1
DLG4	MDM2
MDM2	RELA
MDM2	HIF1A
MDM2	JUN
CALM1	AKT1
AKT1	CREB1
CALM1	ESR1
ESR1	SP1
CALM1	AR
AR	E2F4
DLG4	HGS
HGS	TSG101
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
DLG4	ACTN2
ACTN2	SP100
SP100	ETS1
CALM1	SNCA
SNCA	ELK1
HGS	DAZAP2
DAZAP2	LEF1
AR	TCF7L2
DAZAP2	TCF7L1
ERBB4	YAP1
HGS	INSR
INSR	TEAD1
MDM2	GOLGA2
