CACNA1C	COPS5
COPS5	NFKB1
COPS5	ESR1
ESR1	RELA
COPS5	JUN
CACNA2D1	RAB11A
RAB11A	RCHY1
RCHY1	TP63
TP63	NFKB1
RCHY1	AR
AR	RELA
RAB11A	RAB5A
RAB5A	AP1G1
AP1G1	JUN
CACNA1S	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	JUN
CALM1	DCUN1D1
DCUN1D1	NFKB1
CALM1	ESR1
CALM1	AR
AR	JUN
CALM2	CAMTA2
CAMTA2	HDAC5
HDAC5	NFKB1
CALM2	MYO6
MYO6	POLR2A
POLR2A	RELA
CALM2	CCND2
CCND2	RB1
RB1	JUN
CALM3	CAMTA2
CALM3	TRIM54
TRIM54	USP7
USP7	RELA
CALM3	CCND2
KCNA1	KCNA4
KCNA4	DLG1
DLG1	BTRC
BTRC	NFKB1
KCNA4	SIRT1
SIRT1	RELA
SIRT1	JUN
CACNA1H	KLHL1
KLHL1	CACNA1A
CACNA1A	NOTCH1
NOTCH1	NFKB1
KLHL1	Csk
Csk	CSK
CSK	CREBBP
CREBBP	RELA
CSK	JUN
RXRG	EHHADH
IRF7	IFNA8
USF1	APOC3
JUN	F3
