HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	UBC
UBC	ATF6
ARRB2	TRIM28
TRIM28	E2F4
ARRDC3	ITCH
ITCH	TP53
ARRB2	MAPK1
MAPK1	SP1
ARRB2	AKT1
AKT1	CREB1
MAPK1	ATF2
ARRB2	NFKBIA
NFKBIA	ATF4
ITCH	JUN
JUN	CREB3
ITCH	PTCH1
PTCH1	ATF6B
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	PRMT5
PRMT5	RELA
NFKBIA	NFKB1
ARRB2	CDK3
CDK3	PPARA
TRIM28	MYB
ARRB2	POLR2E
POLR2E	FOS
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	XRCC5
XRCC5	BRCA1
TP53	ETS1
ARRB2	MAPK3
ARRB2	PTGES3
PTGES3	NR3C2
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	C1QBP
C1QBP	CEBPA
TP53	ETS2
ARRB2	DYNC1H1
DYNC1H1	MAX
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
ARRDC3	WWP1
WWP1	SMAD4
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	SFPQ
SFPQ	SP3
NR3C2	ATP1B1
JUN	GRIA2
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
NFKB1	IL6
RELA	IL6
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
HIF1A	ENO2
SMAD4	ID2
SMAD4	ID3
MAPK1	CDK4
MAPK3	CDK4
NFKB1	NFKBIA
RELA	NFKBIA
TP53	RCHY1
TP53	SESN1
TP53	ZMAT3
TP53	PPM1D
ETS1	CDK4
FOS	CDK4
HIF1A	TGFB3
JUN	CDK4
MYC	CDK4
CREB3	MCL1
CREB1	MCL1
ATF2	MCL1
ATF6B	MCL1
ATF4	MCL1
CREB3L2	MCL1
CREB3L1	MCL1
CREB5	MCL1
PPARA	SCP2
MAX	CDK4
FOS	IL6
JUN	IL6
MAPK1	IL6
MAPK3	IL6
MYB	CDK1
SP1	CDK1
SP1	CDKN1C
CEBPA	ADH7
SP1	ALDH3A1
SP1	APEX1
HIF1A	BNIP3
E2F4	CDK1
ETS2	CDK1
E2F4	DHFR
MYC	ID2
CEBPA	IL6
CREB1	IL6
NFIC	IL6
TFAP2A	IL6
SP1	MAT2B
SP3	MAT2B
NFIC	MBP
JUN	MGP
PPARA	NFKBIA
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
SP1	TAF7
TFAP2A	TAF7
SP1	TPI1
ATF6	XBP1
