HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	ITCH
ITCH	TP53
ITCH	JUN
ARRB2	TRIM28
TRIM28	E2F4
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
MAPK1	ATF2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
MAPK1	RXRA
ARRDC3	NEDD4
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
NFKBIA	ATF4
ARRB2	ALYREF
ALYREF	LEF1
ARRDC3	HGS
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
ARRB2	CDK3
CDK3	PPARA
ITCH	PTCH1
PTCH1	ATF6B
NEDD4	KIFC3
KIFC3	CREB5
ADRB2	STAT3
ARRB2	STAT1
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	XRCC5
XRCC5	BRCA1
ARRB2	NPM1
NPM1	TFAP2A
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
NEDD4	ERBB3
ERBB3	EGR1
ARRB2	YWHAQ
YWHAQ	YAP1
HGS	INSR
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
ARRB2	CSNK2A1
CSNK2A1	ATF1
NEDD4	SMAD3
MAPK1	STAT5A
INSR	STAT5B
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
ARRB2	CAPN1
CAPN1	HIF1A
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
EP300	USF2
ARRB2	SFPQ
SFPQ	SP3
TP53	ETS1
ARRB2	POLR2E
POLR2E	FOS
TRIM28	MYB
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
JUN	CCND2
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
SMAD3	MYC
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CREBBP	ENO2
CREBBP	VEGFB
EP300	ENO2
EP300	VEGFB
HIF1A	ENO2
HIF1A	VEGFB
ARNT	ENO2
ARNT	VEGFB
YAP1	MYC
YAP1	CCND2
LEF1	CCND2
TCF7	CCND2
TCF7L2	CCND2
TEAD1	MYC
TEAD1	CCND2
TEAD4	MYC
TEAD4	CCND2
TEAD3	MYC
TEAD3	CCND2
TCF7L1	CCND2
SOS1	SPRY2
SOS1	MYC
SOS1	CCND2
SOS2	SPRY2
SOS2	MYC
SOS2	CCND2
STAT1	MYC
STAT1	CCND2
STAT2	MYC
STAT2	CCND2
STAT3	MYC
STAT3	CCND2
STAT4	MYC
STAT4	CCND2
STAT5A	MYC
STAT5A	CCND2
STAT5B	MYC
STAT5B	CCND2
STAT6	MYC
STAT6	CCND2
CREB3	MITF
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
CREB3L2	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
CREB3L1	MITF
NFKB1	VEGFB
RELA	VEGFB
STAT1	VEGFB
STAT3	VEGFB
ETS1	VEGFB
FOS	VEGFB
JUN	VEGFB
MYC	VEGFB
PPARA	NR1H3
PPARA	PLTP
PPARA	SCD
PPARG	NR1H3
PPARG	SCD
RXRA	NR1H3
RXRA	ILK
RXRA	PLTP
RXRA	SCD
RXRB	NR1H3
RXRB	ILK
RXRB	PLTP
RXRB	SCD
RXRG	NR1H3
RXRG	ILK
RXRG	PLTP
RXRG	SCD
JUN	ABCA1
SP3	ABCA1
USF2	ABCA1
ATF1	BRCA1
CREB1	BRCA1
USF2	BRCA1
EGR1	CD44
SP1	CD44
ATF1	ERBB2
CREB1	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
CREB1	F3
JUN	F3
NFKB1	F3
RELA	F3
JUN	GJA1
SP1	GJA1
JUN	MAT2A
MYB	MAT2A
NFKB1	MAT2A
SP1	MAT2A
E2F4	MYC
MYC	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
TP53	PLK1
FLI1	POLR2G
EGR1	SOD1
SP1	SOD1
