HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	JUN
ARRDC3	ARRB2
ARRB2	C1QBP
C1QBP	CEBPA
ARRB2	MAPK1
MAPK1	SP1
ARRB2	AKT1
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
ARRB2	PTGES3
PTGES3	NR3C2
ITCH	GLI1
CREB3L3	NPY
CREB3L3	BDNF
CREB3L3	FOS
CREB3L3	PDYN
RELA	BIRC2
RELA	XIAP
RELA	BCL2
GLI1	WNT7B
GLI1	WNT8B
GLI1	WNT10B
PIK3CD	PDPK1
NFYA	HLA-DQA2
NFYB	LOC100507714
NFYB	HLA-DMA
NFYB	HLA-DQA1
NFYB	HLA-DQB1
NFKB1	CSF1
ETS1	CSF2
MYC	EIF4E
CREB1	ERBB2
CREM	PLAT
JUN	PLAT
TFAP2A	PTGS2
USF1	PTGS2
SP1	RPL10
RELA	S100A6
USF1	S100A6
CEBPA	SERPINC1
EPAS1	SERPINE1
ESR1	SERPINE1
