HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	TP53
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	SP1
MAPK1	ATF2
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	HSPA5
HSPA5	EP300
EP300	USF2
ITCH	JUN
JUN	CREB3
ITCH	PTCH1
PTCH1	ATF6B
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ARRB2	YWHAQ
YWHAQ	E2F1
ARRB2	XRCC5
XRCC5	BRCA1
ADRB2	SHMT2
SHMT2	E2F2
TRIM28	E2F3
ARRB2	SFPQ
SFPQ	SP3
ARRB2	CSNK2A1
CSNK2A1	ATF1
NFKBIA	NFKB1
ARRB2	MAP2K4
MAP2K4	MAPK8
MAPK8	PAX2
C1QBP	CEBPA
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	HNRNPA1
HNRNPA1	BCL2L1
BCL2L1	BBC3
ARRDC3	WWP1
WWP1	SMAD4
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
TP53	ETS1
NEDD4	SMAD2
SMAD2	ETV4
ARRB2	PRMT5
PRMT5	RELA
ARRB2	POLR2E
POLR2E	FOS
E2F1	TFDP2
NEDD4	PPARG
AKT1	RARA
SMAD2	RARB
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
ARRB2	PARK2
PARK2	MEOX2
MEOX2	PAX1
NEDD4	ARID1A
ARID1A	RARG
ADRB2	STAT3
ITCH	GLI1
YWHAQ	YAP1
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
ARRB2	STAT1
CREB3L3	PDYN
NFKB1	BCL2
RELA	BCL2
GLI1	WNT3
GLI1	WNT10B
GLI2	WNT4
GLI2	WNT5A
GLI2	WNT6
GLI2	WNT7A
GLI2	WNT7B
GLI2	WNT8A
GLI2	WNT8B
GLI2	WNT3A
GLI3	GLI1
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREBBP	VEGFC
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	SLC2A1
HIF1A	TIMP1
STAT5A	SOCS2
STAT6	CCND1
NEUROG3	PAX4
NEUROG3	PAX6
PAX6	PDX1
CREB3	MITF
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
MYC	VEGFA
CREB3L4	MCL1
PPARA	SCP2
RXRA	NR1H3
RXRA	LPL
NFYA	HLA-DOB
NFYA	HLA-DQA1
NFYA	HLA-DRB3
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
RFX5	CD74
RFXAP	LOC100507709
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DMB
RFXAP	HLA-DOA
FLI1	POLR2A
MYB	CDK1
TP53	MKI67
TP53	APAF1
TP53	HSP90AB1
USF1	XRCC6
USF1	SERPINE1
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
MYC	EIF4E
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
ATF1	GH2
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
FLI1	ID2
TAL1	ID2
ATF2	IFNG
CREB1	IL2
SP1	IL2
NFKB1	IL2RA
REL	IL2RA
RELA	IL2RA
STAT1	IL2RA
STAT3	IL2RA
TFAP2A	ITGA2
HIF1A	ITGB2
PPARG	LIPA
USF1	LIPC
ETS1	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
ETV4	MMP9
FLI1	MMP9
CEBPE	MYB
EGR1	MYB
WT1	MYB
E2F4	MYC
MYC	MYC
USF1	PTGS2
PPARD	RELA
USF1	S100A6
SPI1	SCARB2
ESR1	SERPINE1
CREB1	SLC9A1
USF2	SP1
SP1	SPN
ETS1	SPP1
ETS2	SPP1
ETV4	SPP1
JUN	SPP1
CREB1	TF
ESR1	TFF1
POU2F1	VWF
SMAD4	ZFP36
