PDE4B	MAGEA11
MAGEA11	EP300
EP300	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	STAT1
EP300	CREB1
ADORA1	GNAI2
GNAI2	TRIP6
TRIP6	SRC
SRC	CREBBP
ADORA1	SNF8
SNF8	TSG101
TSG101	EP300
GNAI2	RGS20
RGS20	FAF2
FAF2	HIF1A
GNAI2	PLSCR1
PLSCR1	PML
PML	ARNT
GNAI2	GNAI3
GNAI3	XPO1
XPO1	STAT1
GNAI2	ITCH
ITCH	TP53
TP53	CREB1
PDE4A	SQSTM1
SQSTM1	MAPK1
MAPK1	CREBBP
MAPK1	EP300
SQSTM1	HIF1A
HIF1A	ARNT
SQSTM1	NTRK1
NTRK1	STAT1
SQSTM1	MAPK14
MAPK14	CREB1
ADORA2A	DRD2
DRD2	FLNA
FLNA	REL
REL	CREBBP
REL	EP300
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
DRD2	PAWR
PAWR	STAT1
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
NT5E	MTOR
MTOR	AKT1
AKT1	CREBBP
NT5E	ATR
ATR	EP300
MTOR	STAT3
STAT3	HIF1A
MTOR	STAT1
ATR	CREB1
CTNNB1	CCND2
ELK1	CCND2
MAPK10	SMAD4
STAT1	MYD88
CREBBP	PFKFB4
CREBBP	TEK
EP300	PFKFB4
EP300	TEK
TEAD1	SNAI2
RXRB	APOC3
RARB	JUN
