ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
UBL4A	SMN1
SMN1	RXRA
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD3
FN1	SMAD4
UBL4A	TXN
TXN	NFKB1
COL1A1	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
COL1A1	PDGFA
PDGFA	PLCG1
PLCG1	SOS1
PLCG1	SOS2
TGFB1	SMAD2
UBL4A	HSP90AA1
HSP90AA1	PPARA
UBL4A	RAB1A
RAB1A	CREB1
ITGB1	GNB2L1
GNB2L1	HIF1A
IGF1R	TP53
EP300	NOS2
SMAD4	ID3
SMAD4	ID4
SMAD4	SERPINE1
LEF1	CCND3
TCF7L2	BIRC2
LEF1	MITF
EPAS1	PDGFB
ETS1	VEGFB
MYC	MMP1
NFKB1	CCND1
NFKB2	TRAF2
RELA	TRAF4
FOXO3	PCK1
PPARA	CYP7A1
PPARA	ACAA1
PPARA	FADS2
PPARG	CYP27A1
PPARG	LPL
RXRA	CPT1B
RXRB	SCD
RXRG	FABP4
NFYC	HLA-DQA2
USF1	APOC3
USF2	APOC3
CREB1	ARG1
ETS1	CSF2
RARG	MIF
CEBPA	MMP11
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
SMAD3	MMP9
