ADRB1	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	IGF1R
IGF1R	TP53
ARRB2	C1QBP
C1QBP	CEBPA
ARRB2	XRCC6
XRCC6	POU2F1
XRCC6	PPARG
ARRB2	CDK3
CDK3	PPARA
ADRB2	STAT3
STAT3	NFKB1
ADRB2	TSG101
TSG101	TP53
ADRB2	C1QBP
ADRB2	LMNB1
LMNB1	POU2F1
ADRB2	NEDD4
NEDD4	PPARG
STAT3	RELA
RELA	PPARA
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
S1PR1	WWP2
WWP2	SMAD3
SMAD3	CEBPA
YWHAQ	LMNB1
GNAI3	XPO1
XPO1	PPARG
YWHAQ	NCOA1
NCOA1	PPARA
HTR1B	MDFI
MDFI	KAT5
KAT5	EP300
EP300	NFKB1
KAT5	TP53
KAT5	CEBPA
KAT5	BRCA1
BRCA1	POU2F1
MDFI	PIN1
PIN1	PPARG
KAT5	UBE2I
UBE2I	PPARA
GLI3	PTCH1
CEBPB	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
SMAD1	ANKRD1
JUN	TFPI2
