ADRB1	ARRB2
ARRB2	YWHAQ
YWHAQ	E2F1
ARRB2	RPA1
RPA1	MOV10
MOV10	E2F2
ARRB2	TRIM28
TRIM28	E2F3
TRIM28	E2F4
RPA1	SMAD3
SMAD3	PAX6
ARRB2	MAPK3
MAPK3	ELK4
ARRB2	CSNK2A1
CSNK2A1	SRF
ARRB2	HNRNPM
HNRNPM	TOP1
TOP1	ELK3
ARRB2	AKT1
AKT1	CREB1
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	STAT1
ARRB2	MAP2K4
MAP2K4	JUN
JUN	CREB3
ARRB2	MAPK1
MAPK1	ATF2
MOV10	ATF6B
RPA1	ELAVL1
ELAVL1	CREB3L2
RPA1	PGRMC1
PGRMC1	CREB3L1
ARRB2	HNRNPA1
HNRNPA1	KRT15
KRT15	CREB5
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	XRCC6
XRCC6	POU2F1
MAPK1	RXRA
ARRB2	MLLT4
MLLT4	NR2C2
NR2C2	RXRB
RPA1	CUL1
CUL1	RXRG
ARRB2	MCM3
MCM3	SAE1
SAE1	ETV4
ADRB2	VHL
VHL	E2F1
ADRB2	SHMT2
SHMT2	E2F2
ADRB2	STAT3
STAT3	RB1
RB1	E2F3
STAT3	PML
PML	E2F4
STAT3	EP300
EP300	PAX6
STAT3	MAPK8
MAPK8	ELK4
ADRB2	PRKDC
PRKDC	SRF
ADRB2	VCP
VCP	TOP1
ADRB2	MAPK14
MAPK14	CREB1
ADRB2	SRC
SRC	ESR1
SHMT2	ATF4
STAT3	STAT1
SHMT2	CREB3
MAPK14	ATF2
ADRB2	GRB2
GRB2	RBM33
RBM33	ATF6B
ADRB2	REL
REL	CEP19
CEP19	CREB3L2
ADRB2	PGRMC1
ADRB2	RGS20
RGS20	CREB5
ADRB2	LMNB1
LMNB1	POU2F1
SRC	RXRA
ADRB2	TSG101
TSG101	NR3C1
NR3C1	RXRB
SRC	THRB
THRB	RXRG
GRB2	HTT
HTT	ETV4
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
S1PR1	TRIP6
TRIP6	BCAR1
BCAR1	E2F2
YWHAQ	TRIM28
GNAI3	XPO1
XPO1	E2F4
S1PR1	WWP2
WWP2	SMAD3
XPO1	ELAVL1
ELAVL1	ELK4
WWP2	SMAD7
SMAD7	SRF
TRIP6	RPS14
RPS14	TOP1
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
YWHAQ	ESR1
GNAI3	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
XPO1	STAT1
TRIP6	SRC
SRC	HDAC3
HDAC3	CREB3
TRIP6	CREB5
CREB5	ATF2
WWP2	PTCH1
PTCH1	ATF6B
MDFI	PRKAB2
PRKAB2	CREB3L1
GNAI3	GNB2
GNB2	STAT3
YWHAQ	LMNB1
MDFI	NR1H2
NR1H2	RXRB
TRIP6	AJUBA
AJUBA	RXRG
WWP2	SMAD2
SMAD2	ETV4
KAT5	E2F1
KAT5	RB1
RB1	E2F2
KAT5	BRCA1
BRCA1	E2F4
KAT5	EP300
BRCA1	ELK4
KAT5	SRF
MDFI	NAB2
NAB2	TOP1
KAT5	ESR1
EP300	ATF4
EP300	STAT1
KAT5	HDAC3
MDFI	CREB5
NAB2	XBP1
XBP1	ATF6B
MDFI	VHL
VHL	ELAVL1
MDFI	MYOD1
MYOD1	STAT3
BRCA1	POU2F1
NR1H2	RXRA
NR1H2	RXRG
MDFI	PIN1
PIN1	SMAD2
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
SOS1	CCND3
SOS2	SPRY3
FOXO3	RBL2
ATF4	BCL2
PPARD	CPT1B
PPARD	ACADL
RXRA	CYP7A1
RXRA	CYP27A1
NFYC	HLA-DRB5
NFYC	CD74
MAPK11	IL6
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
TFAP2A	ADRA1A
CREB1	ADRB2
NFIC	AFP
EGR1	AKR1B1
NFKB1	AKR1B1
TFAP2A	HMOX1
POU2F1	IL2
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
USF2	SP1
ETS1	SPP1
ETV4	SPP1
